bead_id;voxels;volume_mm3;eq_diameter_um;centroid_z_vox;centroid_y_vox;centroid_x_vox;bbox_z;bbox_y;bbox_x;sphericity;wall_touching
1;286081;4.3457;2024.6626;715.6190;271.9271;114.9335;85;86;80;0.8590;0
25;228928;3.4775;1879.7033;443.8575;67.5990;293.7822;77;74;78;0.9213;0
3;226280;3.4373;1872.4277;582.2210;123.8743;187.6185;78;78;75;0.9107;0
31;225465;3.4249;1870.1770;662.5301;268.6427;292.3440;82;74;75;0.7810;0
2;224305;3.4073;1866.9642;313.0406;46.8724;225.7484;76;74;78;0.9027;0
33;218972;3.3263;1852.0492;309.8071;225.6773;57.8680;77;74;75;0.9160;0
5;217391;3.3022;1847.5811;452.5924;307.3148;352.2065;76;74;74;0.9458;0
21;216927;3.2952;1846.2657;594.0746;163.6833;268.7058;76;75;74;0.9438;0
4;216619;3.2905;1845.3915;562.1195;97.9312;88.6025;76;75;75;0.9424;0
171;216128;3.2831;1843.9961;648.1517;382.7409;217.6141;74;68;85;0.6721;0
6;216003;3.2812;1843.6406;374.2354;149.4214;145.1418;76;77;73;0.9036;0
214;214141;3.2529;1838.3277;186.0201;88.1302;334.4472;79;82;68;0.7418;0
8;213732;3.2467;1837.1566;817.6432;331.3949;272.2663;76;74;74;0.9299;0
37;213656;3.2455;1836.9388;378.5996;86.8145;321.5550;76;79;72;0.8276;0
18;213041;3.2362;1835.1746;532.6606;375.9566;249.1557;76;74;73;0.9269;0
10;213005;3.2356;1835.0712;763.7856;100.5488;237.8776;76;74;74;0.9267;0
7;212815;3.2327;1834.5254;107.1021;301.1136;290.8952;74;75;76;0.9259;0
14;212319;3.2252;1833.0991;369.3285;236.7073;101.6749;74;74;74;1.0007;0
9;211363;3.2107;1830.3437;669.6873;179.8288;38.1877;77;74;74;0.8842;0
26;211146;3.2074;1829.7171;645.8966;303.4744;140.8926;74;73;77;0.8833;0
61;210908;3.2038;1829.0294;219.4661;223.3722;123.5973;71;76;77;0.8823;0
16;210306;3.1946;1827.2875;227.3126;348.1193;224.9446;73;76;76;0.9150;0
23;210241;3.1936;1827.0992;247.2300;68.2047;302.3822;73;76;74;0.9147;0
11;210184;3.1928;1826.9341;411.4911;347.5407;184.3899;74;74;73;0.9906;0
154;209014;3.1750;1823.5379;591.9108;77.1895;301.6469;82;72;69;0.7240;0
96;208527;3.1676;1822.1205;697.5749;205.5613;306.2278;79;73;73;0.8078;0
17;207547;3.1527;1819.2616;199.9005;110.3826;244.2394;75;75;73;0.9396;0
15;207278;3.1486;1818.4753;457.6781;228.2018;89.8652;74;74;75;0.9384;0
28;207014;3.1446;1817.7029;507.9752;265.3900;127.4728;73;76;75;0.9007;0
12;206138;3.1313;1815.1353;492.4398;62.7813;143.2116;75;73;74;0.9332;0
13;206078;3.1304;1814.9592;812.7652;382.1161;201.5183;72;73;74;0.9713;0
108;206042;3.1298;1814.8535;666.0014;98.7736;188.2340;72;75;75;0.9328;0
62;205945;3.1284;1814.5687;523.6730;137.1399;137.7874;76;75;71;0.8960;0
48;205920;3.1280;1814.4953;70.5085;234.3903;127.1420;71;72;77;0.8614;0
22;205403;3.1201;1812.9754;412.1035;132.3802;71.4775;75;72;74;0.9299;0
19;204712;3.1096;1810.9401;99.3569;211.2363;274.8056;73;74;73;0.9648;0
210;204533;3.1069;1810.4122;778.7808;270.5846;245.8851;69;78;74;0.8232;0
