bead_id;voxels;volume_mm3;eq_diameter_um;feret_mean_um;centroid_z_vox;centroid_y_vox;centroid_x_vox;bbox_z;bbox_y;bbox_x;sphericity;wall_touching
1;286793;4.3565;2026.3409;2099.5243;715.6140;271.9384;114.8595;86;87;82;0.8318;0
223;233907;3.5531;1893.2330;2824.4385;184.4733;86.3278;336.9772;133;94;95;0.1899;1
9;228858;3.4764;1879.5117;1932.7865;443.8288;67.5750;293.7778;78;75;78;0.9211;0
2;226121;3.4349;1871.9890;1913.5762;582.2103;123.8912;187.6417;78;78;77;0.9100;0
25;225919;3.4318;1871.4314;1919.7266;662.5765;268.6725;292.3049;82;76;75;0.7826;0
3;224591;3.4116;1867.7573;1897.2953;313.0721;46.9032;225.7396;76;74;78;0.9039;0
6;219034;3.3272;1852.2240;1907.5640;309.7911;225.6987;57.8751;78;75;76;0.8815;0
5;217596;3.3054;1848.1617;1874.0499;452.6052;307.2792;352.2216;76;74;74;0.9467;0
8;216938;3.2954;1846.2969;1889.0957;594.1098;163.6850;268.7447;76;75;74;0.9438;0
4;216277;3.2853;1844.4198;1875.7203;562.1820;97.9003;88.5974;78;75;75;0.8704;0
194;216186;3.2839;1844.1611;1879.0026;648.1427;382.7412;217.6099;75;69;85;0.6723;0
14;215994;3.2810;1843.6150;1882.0425;374.2172;149.4512;145.1263;77;79;73;0.8367;0
44;214450;3.2576;1839.2115;1881.1535;378.6184;86.7781;321.6110;77;79;73;0.8307;0
19;214173;3.2534;1838.4193;1876.5343;817.5985;331.3924;272.3055;78;74;76;0.8620;0
7;213113;3.2373;1835.3813;1875.8143;107.1051;301.1149;290.8704;75;75;76;0.9272;0
12;213081;3.2368;1835.2895;1866.1685;763.7725;100.5721;237.8735;77;74;75;0.8914;0
26;213014;3.2358;1835.0971;1879.4599;532.6569;375.9640;249.1217;77;74;73;0.8911;0
17;212469;3.2275;1833.5307;1872.4868;369.3212;236.6850;101.6602;74;75;74;0.9619;0
21;211616;3.2145;1831.0737;1883.2374;645.8916;303.4785;140.8746;76;76;77;0.8853;0
22;211462;3.2122;1830.6294;1858.8356;669.6945;179.8375;38.2005;77;74;75;0.8846;0
18;211442;3.2119;1830.5717;1869.7811;247.2612;68.0283;302.4823;76;76;75;0.9199;0
