Height Porosity Profiles (fraction of interior per height bin)
 Norm_height; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0167;         0.2115;       0.0001;       0.2114;       0.4908
      0.0500;         0.3139;       0.0010;       0.3130;       0.5792
      0.0833;         0.4036;       0.0019;       0.4017;       0.5640
      0.1167;         0.3631;       0.0019;       0.3612;       0.6271
      0.1500;         0.4541;       0.0037;       0.4504;       0.5106
      0.1833;         0.3593;       0.0014;       0.3579;       0.6112
      0.2167;         0.3965;       0.0009;       0.3956;       0.5914
      0.2500;         0.4526;       0.0014;       0.4512;       0.5382
      0.2833;         0.4400;       0.0015;       0.4385;       0.5548
      0.3167;         0.4824;       0.0020;       0.4803;       0.5115
      0.3500;         0.4116;       0.0012;       0.4104;       0.5825
      0.3833;         0.4687;       0.0018;       0.4669;       0.5251
      0.4167;         0.4577;       0.0018;       0.4559;       0.5371
      0.4500;         0.4388;       0.0029;       0.4359;       0.5558
      0.4833;         0.4921;       0.0056;       0.4865;       0.5032
      0.5167;         0.4763;       0.0023;       0.4740;       0.5201
      0.5500;         0.4593;       0.0028;       0.4565;       0.5368
      0.5833;         0.4221;       0.0019;       0.4202;       0.5731
      0.6167;         0.4272;       0.0015;       0.4257;       0.5658
      0.6500;         0.4345;       0.0023;       0.4323;       0.5527
      0.6833;         0.4069;       0.0020;       0.4049;       0.5766
      0.7167;         0.4809;       0.0052;       0.4757;       0.5085
      0.7500;         0.4948;       0.0048;       0.4899;       0.4963
      0.7833;         0.5013;       0.0031;       0.4982;       0.4930
      0.8167;         0.4405;       0.0018;       0.4387;       0.5535
      0.8500;         0.4109;       0.0016;       0.4093;       0.5811
      0.8833;         0.3915;       0.0018;       0.3897;       0.5976
      0.9167;         0.4555;       0.0026;       0.4530;       0.5350
      0.9500;         0.3642;       0.0020;       0.3622;       0.6245
      0.9833;         0.5677;       0.0085;       0.5592;       0.3668
