Radial Porosity Profile
  Norm. radius;  Porosity
        0.0250;    0.4309
        0.0750;    0.4477
        0.1250;    0.4027
        0.1750;    0.3505
        0.2250;    0.3840
        0.2750;    0.4461
        0.3250;    0.4734
        0.3750;    0.4375
        0.4250;    0.3839
        0.4750;    0.3204
        0.5250;    0.3292
        0.5750;    0.4263
        0.6250;    0.5134
        0.6750;    0.4788
        0.7250;    0.3877
        0.7750;    0.3407
        0.8250;    0.3809
        0.8750;    0.5063
        0.9250;    0.6527
        0.9750;    0.7818


Height Porosity Profile
  Norm. height;  Porosity
        0.0167;    0.3111
        0.0500;    0.4287
        0.0833;    0.3647
        0.1167;    0.4530
        0.1500;    0.3944
        0.1833;    0.3594
        0.2167;    0.4602
        0.2500;    0.4162
        0.2833;    0.4886
        0.3167;    0.4280
        0.3500;    0.4286
        0.3833;    0.4759
        0.4167;    0.4459
        0.4500;    0.4701
        0.4833;    0.4744
        0.5167;    0.4627
        0.5500;    0.4737
        0.5833;    0.4138
        0.6167;    0.4349
        0.6500;    0.4198
        0.6833;    0.4298
        0.7167;    0.4996
        0.7500;    0.5055
        0.7833;    0.4874
        0.8167;    0.4451
        0.8500;    0.4052
        0.8833;    0.4068
        0.9167;    0.4542
        0.9500;    0.3712
        0.9833;    0.6158
