Radial Porosity Profiles (method='distance_transform', fraction of interior per radial bin)
 Norm_radius; Voxel_count; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0250;      449201;         0.4799;       0.0053;       0.4747;       0.5183
      0.0750;      988728;         0.4233;       0.0029;       0.4204;       0.5735
      0.1250;     1455693;         0.3966;       0.0026;       0.3940;       0.5994
      0.1750;     1908309;         0.3728;       0.0018;       0.3710;       0.6234
      0.2250;     2350246;         0.3862;       0.0027;       0.3835;       0.6101
      0.2750;     2793788;         0.4458;       0.0041;       0.4417;       0.5506
      0.3250;     3232193;         0.4759;       0.0042;       0.4718;       0.5210
      0.3750;     3672898;         0.4234;       0.0032;       0.4202;       0.5740
      0.4250;     4116609;         0.3532;       0.0017;       0.3515;       0.6442
      0.4750;     4560261;         0.3294;       0.0015;       0.3279;       0.6680
      0.5250;     5014266;         0.3444;       0.0024;       0.3421;       0.6529
      0.5750;     5465199;         0.4181;       0.0049;       0.4132;       0.5786
      0.6250;     5925321;         0.5130;       0.0064;       0.5065;       0.4826
      0.6750;     6411733;         0.5051;       0.0033;       0.5018;       0.4888
      0.7250;     6891907;         0.4124;       0.0017;       0.4107;       0.5804
      0.7750;     7341022;         0.3389;       0.0009;       0.3380;       0.6531
      0.8250;     7762297;         0.3252;       0.0008;       0.3244;       0.6654
      0.8750;     8176899;         0.3859;       0.0008;       0.3851;       0.6005
      0.9250;     8605713;         0.5178;       0.0020;       0.5159;       0.4611
      0.9750;     8718827;         0.7124;       0.0026;       0.7098;       0.2207
