bead_id;voxels;volume_mm3;eq_diameter_um;feret_mean_um;centroid_z_vox;centroid_y_vox;centroid_x_vox;bbox_z;bbox_y;bbox_x;sphericity;wall_touching
237;284059;4.3150;2019.8813;2069.0806;613.0205;309.2362;449.9058;87;80;84;0.8239;0
135;230208;3.4969;1883.2001;1934.7384;349.8569;383.9795;153.5823;82;78;75;0.7974;0
182;229069;3.4796;1880.0891;1920.6615;475.6709;404.8958;285.4105;78;75;78;0.9219;0
69;224838;3.4154;1868.4418;1897.1778;208.8816;414.5567;191.7125;76;74;76;0.9782;0
220;224749;3.4140;1868.1952;1915.1923;572.6394;200.9482;224.6824;85;74;74;0.6989;0
190;221846;3.3699;1860.1167;2217.3346;482.3490;107.9955;194.6603;74;104;77;0.3767;0
98;219446;3.3335;1853.3846;1888.1059;267.3477;384.6114;491.7063;76;75;82;0.7601;0
194;218831;3.3241;1851.6516;1906.4035;502.7532;333.8521;234.8261;81;77;75;0.7864;0
146;218556;3.3199;1850.8756;1887.1826;387.9034;148.8013;219.2908;79;77;78;0.8466;0
168;216089;3.2825;1843.8852;1895.0335;439.4823;470.9983;357.4064;78;77;75;0.8697;0
106;215293;3.2704;1841.6183;1875.3271;284.2664;429.8168;324.5572;78;76;75;0.8665;0
109;214860;3.2638;1840.3829;1882.3420;291.2317;344.7790;133.0324;79;73;75;0.8323;0
233;214151;3.2530;1838.3563;1875.6052;598.7656;120.6828;322.4357;83;70;74;0.7153;0
97;213456;3.2425;1836.3655;1873.1010;263.3194;315.3841;396.5648;74;75;77;0.8930;0
124;213233;3.2391;1835.7258;1867.1497;326.6482;186.1658;381.7107;74;74;77;0.8920;0
177;212931;3.2345;1834.8587;1892.0415;457.6808;149.0067;349.3072;79;76;75;0.8248;0
45;212828;3.2329;1834.5628;1880.0447;151.5085;330.3236;422.9437;75;78;75;0.8565;0
44;212443;3.2271;1833.4559;1865.2658;151.0520;139.5706;330.5181;74;74;77;0.8887;0
260;212375;3.2260;1833.2603;1871.7917;659.7818;428.3073;246.0033;79;75;76;0.8227;0
264;211738;3.2164;1831.4255;1872.7727;680.6314;88.0448;200.9670;71;75;75;0.9586;0
209;211299;3.2097;1830.1589;1873.0052;544.9425;438.8504;450.0407;78;74;77;0.8504;0
52;211185;3.2080;1829.8297;1866.3373;156.7872;351.3657;126.2582;77;74;75;0.8835;0
211;210188;3.1928;1826.9457;1862.4560;547.3303;279.4176;418.2198;74;74;75;0.9515;0
28;209712;3.1856;1825.5655;1888.6756;104.8093;333.2056;195.8280;80;76;79;0.7823;0
158;209300;3.1793;1824.3692;1875.1826;406.1695;298.7385;399.8811;74;80;77;0.7807;0
216;209098;3.1763;1823.7821;1889.2494;556.3362;438.9402;280.1314;72;76;82;0.7243;0
