Height Porosity Profiles (fraction of interior per height bin)
 Norm_height; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0167;         0.0232;       0.0000;       0.0232;       0.1185
      0.0500;         0.0580;       0.0000;       0.0580;       0.3336
      0.0833;         0.1823;       0.0002;       0.1820;       0.5576
      0.1167;         0.2814;       0.0010;       0.2804;       0.5508
      0.1500;         0.3562;       0.0034;       0.3529;       0.5033
      0.1833;         0.3734;       0.0039;       0.3695;       0.4941
      0.2167;         0.4458;       0.0038;       0.4420;       0.4345
      0.2500;         0.3804;       0.0033;       0.3771;       0.4853
      0.2833;         0.3720;       0.0023;       0.3697;       0.4667
      0.3167;         0.3826;       0.0018;       0.3808;       0.4564
      0.3500;         0.3801;       0.0022;       0.3779;       0.4476
      0.3833;         0.3679;       0.0014;       0.3665;       0.4589
      0.4167;         0.3982;       0.0022;       0.3959;       0.4122
      0.4500;         0.3621;       0.0023;       0.3598;       0.4827
      0.4833;         0.3694;       0.0020;       0.3675;       0.4612
      0.5167;         0.3517;       0.0028;       0.3489;       0.4001
      0.5500;         0.3445;       0.0014;       0.3432;       0.3807
      0.5833;         0.3693;       0.0022;       0.3671;       0.3534
      0.6167;         0.3933;       0.0030;       0.3903;       0.3213
      0.6500;         0.3841;       0.0029;       0.3812;       0.3437
      0.6833;         0.3316;       0.0020;       0.3296;       0.3830
      0.7167;         0.3257;       0.0016;       0.3241;       0.3819
      0.7500;         0.3216;       0.0010;       0.3206;       0.3325
      0.7833;         0.3042;       0.0006;       0.3036;       0.3846
      0.8167;         0.3202;       0.0024;       0.3178;       0.2516
      0.8500;         0.0000;       0.0000;       0.0000;       0.0000
      0.8833;         0.0000;       0.0000;       0.0000;       0.0000
      0.9167;         0.0000;       0.0000;       0.0000;       0.0000
      0.9500;         0.0000;       0.0000;       0.0000;       0.0000
      0.9833;         0.0000;       0.0000;       0.0000;       0.0000
