Radial Porosity Profiles (method='distance_transform', fraction of interior per radial bin)
 Norm_radius; Voxel_count; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0250;      635023;         0.3943;       0.0029;       0.3914;       0.4377
      0.0750;     1423010;         0.3646;       0.0029;       0.3617;       0.4678
      0.1250;     2060009;         0.3496;       0.0033;       0.3463;       0.4893
      0.1750;     2635623;         0.3254;       0.0024;       0.3230;       0.5143
      0.2250;     3195340;         0.3133;       0.0024;       0.3108;       0.5230
      0.2750;     3768804;         0.3057;       0.0024;       0.3033;       0.5337
      0.3250;     4344237;         0.3117;       0.0022;       0.3094;       0.5196
      0.3750;     4900210;         0.3125;       0.0025;       0.3100;       0.4959
      0.4250;     5470089;         0.3155;       0.0028;       0.3127;       0.4826
      0.4750;     6070601;         0.3159;       0.0023;       0.3135;       0.4785
      0.5250;     6687126;         0.3141;       0.0021;       0.3120;       0.4737
      0.5750;     7272092;         0.3206;       0.0027;       0.3179;       0.4480
      0.6250;     7869757;         0.3132;       0.0026;       0.3107;       0.4307
      0.6750;     8473494;         0.2945;       0.0019;       0.2926;       0.4250
      0.7250;     9102337;         0.2783;       0.0014;       0.2769;       0.4319
      0.7750;     9791835;         0.2680;       0.0013;       0.2667;       0.4468
      0.8250;    10565028;         0.2745;       0.0014;       0.2731;       0.4384
      0.8750;    11452975;         0.3310;       0.0015;       0.3295;       0.3804
      0.9250;    12494401;         0.4069;       0.0020;       0.4049;       0.2655
      0.9750;    13937843;         0.4126;       0.0014;       0.4113;       0.0903
