bead_id;zpos_vox;ypos_vox;xpos_vox;zdisp_vox;ydisp_vox;xdisp_vox;disp_mag_vox;zdisp_um;ydisp_um;xdisp_um;disp_mag_um;rot_deg;error;iterations;returnStatus;valid
1;47.90;279.34;165.24;-10.231;22.872;29.146;38.436;-253.37;566.45;721.84;951.90;47.745;2939.83;50;1;1
2;51.73;345.46;175.03;-15.105;-39.416;20.872;47.089;-374.08;-976.18;516.92;1166.22;72.137;3019.30;50;1;1
3;80.49;303.38;223.14;-41.335;-0.784;-25.201;48.418;-1023.70;-19.41;-624.13;1199.12;27.867;3182.95;50;1;1
4;79.44;396.42;211.17;-119.746;25.987;-55.253;134.415;-2965.64;643.60;-1368.39;3328.93;99.339;30372.21;50;1;0
5;80.18;177.51;199.84;5.078;-12.157;0.478;13.183;125.75;-301.07;11.85;326.49;141.590;2459.89;50;1;1
6;75.77;339.21;339.62;-35.088;25.469;19.873;47.694;-868.98;630.77;492.16;1181.19;27.082;1936.98;50;1;1
7;92.39;291.28;294.37;-27.427;-42.076;35.224;61.346;-679.25;-1042.06;872.36;1519.30;40.641;1711.25;50;1;1
8;93.65;180.67;267.89;-8.334;8.836;7.907;14.493;-206.40;218.84;195.82;358.94;52.651;5417.04;50;1;1
9;109.37;280.22;370.84;0.707;12.339;-14.197;18.823;17.51;305.59;-351.60;466.18;75.166;2893.63;50;1;1
10;115.13;272.37;160.60;-25.750;-0.699;3.280;25.967;-637.72;-17.31;81.24;643.11;20.134;278.11;50;1;1
11;106.71;117.34;296.89;-5.161;20.351;-31.561;37.907;-127.81;504.01;-781.65;938.79;57.243;1044.07;50;1;1
12;113.06;241.09;237.75;-34.844;15.622;-9.000;39.232;-862.94;386.89;-222.90;971.62;14.239;437.42;50;1;1
13;115.69;355.63;257.03;-57.426;-10.987;-7.529;58.951;-1422.22;-272.11;-186.47;1459.97;33.728;638.86;50;1;1
14;117.11;370.12;386.86;-11.971;-5.701;-10.638;17.000;-296.48;-141.20;-263.46;421.01;67.305;1603.83;50;1;1
