bond_id;labelA;labelB;d1_vox;d2_vox;strain;broken;nx_A;ny_A;nz_A;nx_B;ny_B;nz_B;normal_dz
0;1;2;66.951;4.252;-0.936496;0;164.40;278.50;36.96;174.12;345.36;41.14;0.062
1;1;3;70.661;3.872;-0.945201;1;164.40;278.50;36.96;221.98;303.60;69.34;0.458
2;1;10;67.749;67.359;-0.005761;1;164.40;278.50;36.96;159.77;272.88;103.70;0.994
3;2;3;70.085;4.733;-0.932467;1;174.12;345.36;41.14;221.98;303.60;69.34;0.406
4;2;4;68.345;145.115;1.123258;1;174.12;345.36;41.14;210.83;397.02;67.77;0.387
5;3;7;73.227;144.399;0.971938;1;221.98;303.60;69.34;293.85;291.62;81.42;0.164
6;3;10;77.925;68.107;-0.125994;0;221.98;303.60;69.34;159.77;272.88;103.70;0.444
7;3;12;71.794;67.677;-0.057341;1;221.98;303.60;69.34;238.11;240.95;102.13;0.452
8;3;13;71.534;69.220;-0.032355;1;221.98;303.60;69.34;256.66;355.17;104.94;0.497
9;3;27;72.717;72.943;0.003109;1;221.98;303.60;69.34;210.43;298.70;140.45;0.985
10;4;13;71.276;156.588;1.196927;1;210.83;397.02;67.77;256.66;355.17;104.94;0.514
11;4;19;71.235;174.870;1.454827;1;210.83;397.02;67.77;182.10;362.45;123.92;0.781
12;4;22;69.879;226.976;2.248144;1;210.83;397.02;67.77;232.89;419.69;130.48;0.893
13;5;8;69.444;79.250;0.141207;1;199.38;177.22;69.14;267.50;179.97;82.94;0.198
14;5;12;80.998;95.940;0.184478;1;199.38;177.22;69.14;238.11;240.95;102.13;0.405
15;5;20;70.675;73.530;0.040405;1;199.38;177.22;69.14;176.58;210.26;127.02;0.822
16;5;25;75.128;7.053;-0.906122;1;199.38;177.22;69.14;219.31;154.16;137.54;0.913
17;6;7;67.981;121.733;0.790678;1;339.79;339.19;64.69;293.85;291.62;81.42;0.245
18;6;9;74.724;100.128;0.339976;1;339.79;339.19;64.69;370.98;280.34;98.17;0.449
19;6;14;69.969;66.593;-0.048250;1;339.79;339.19;64.69;387.30;369.72;105.85;0.589
20;6;17;71.740;72.945;0.016792;1;339.79;339.19;64.69;317.29;392.08;108.85;0.609
21;6;23;68.792;97.666;0.419730;1;339.79;339.19;64.69;329.26;327.59;131.53;0.974
22;7;9;79.107;68.167;-0.138296;1;293.85;291.62;81.42;370.98;280.34;98.17;0.210
23;7;12;78.437;101.993;0.300323;1;293.85;291.62;81.42;238.11;240.95;102.13;0.265
24;7;13;77.968;124.780;0.600400;1;293.85;291.62;81.42;256.66;355.17;104.94;0.304
25;7;16;70.729;68.850;-0.026569;0;293.85;291.62;81.42;312.54;228.23;106.60;0.356
26;7;23;70.656;70.218;-0.006201;1;293.85;291.62;81.42;329.26;327.59;131.53;0.705
27;7;28;73.499;83.463;0.135558;1;293.85;291.62;81.42;279.04;285.61;152.99;0.976
28;8;11;70.873;55.302;-0.219698;1;267.50;179.97;82.94;296.50;116.94;96.49;0.192
29;8;12;70.253;82.343;0.172100;1;267.50;179.97;82.94;238.11;240.95;102.13;0.273
30;8;16;69.604;78.169;0.123043;1;267.50;179.97;82.94;312.54;228.23;106.60;0.337
31;8;25;77.511;82.193;0.060407;1;267.50;179.97;82.94;219.31;154.16;137.54;0.707
32;9;16;78.322;72.147;-0.078834;1;370.98;280.34;98.17;312.54;228.23;106.60;0.107
33;9;18;77.253;68.222;-0.116895;1;370.98;280.34;98.17;387.91;205.21;104.62;0.084
34;9;21;73.887;93.375;0.263749;1;370.98;280.34;98.17;434.24;258.86;129.04;0.419
35;9;23;71.186;5.840;-0.917956;0;370.98;280.34;98.17;329.26;327.59;131.53;0.468
36;9;32;71.928;70.538;-0.019331;1;370.98;280.34;98.17;343.38;260.63;162.33;0.884
37;10;20;68.701;68.749;0.000709;1;159.77;272.88;103.70;176.58;210.26;127.02;0.338
38;10;27;67.588;72.090;0.066606;1;159.77;272.88;103.70;210.43;298.70;140.45;0.543
39;10;33;69.903;74.641;0.067781;1;159.77;272.88;103.70;161.15;259.90;173.19;0.983
40;11;24;71.997;63.264;-0.121299;1;296.50;116.94;96.49;337.44;166.49;130.41;0.467
41;11;38;71.415;75.143;0.052208;1;296.50;116.94;96.49;299.44;117.44;167.31;0.999
42;12;16;76.679;87.336;0.138988;1;238.11;240.95;102.13;312.54;228.23;106.60;0.059
43;12;20;72.844;93.048;0.277349;1;238.11;240.95;102.13;176.58;210.26;127.02;0.340
44;12;27;73.977;88.004;0.189613;0;238.11;240.95;102.13;210.43;298.70;140.45;0.513
45;12;28;79.432;89.475;0.126425;1;238.11;240.95;102.13;279.04;285.61;152.99;0.643
46;12;35;70.782;74.778;0.056456;1;238.11;240.95;102.13;230.72;238.82;171.93;0.994
47;13;17;70.244;75.487;0.074650;1;256.66;355.17;104.94;317.29;392.08;108.85;0.055
48;13;19;77.309;71.288;-0.077877;1;256.66;355.17;104.94;182.10;362.45;123.92;0.246
49;13;22;73.198;132.522;0.810466;1;256.66;355.17;104.94;232.89;419.69;130.48;0.348
50;13;36;71.335;120.568;0.690155;1;256.66;355.17;104.94;245.91;345.84;174.43;0.980
51;14;17;72.759;69.916;-0.039068;1;387.30;369.72;105.85;317.29;392.08;108.85;0.041
52;14;23;76.617;71.546;-0.066185;1;387.30;369.72;105.85;329.26;327.59;131.53;0.337
53;14;26;71.527;70.804;-0.010105;1;387.30;369.72;105.85;415.06;428.12;138.80;0.454
54;14;29;76.029;74.436;-0.020947;0;387.30;369.72;105.85;415.88;326.03;160.74;0.725
55;14;37;70.869;70.140;-0.010291;1;387.30;369.72;105.85;375.66;384.01;175.23;0.966
56;15;17;69.944;81.855;0.170289;1;358.30;448.70;103.67;317.29;392.08;108.85;0.074
57;15;26;69.940;56.379;-0.193899;1;358.30;448.70;103.67;415.06;428.12;138.80;0.503
58;15;31;70.327;91.857;0.306148;1;358.30;448.70;103.67;319.82;449.92;162.09;0.835
59;16;18;77.844;99.075;0.272735;1;312.54;228.23;106.60;387.91;205.21;104.62;-0.025
60;16;24;70.662;87.827;0.242932;1;312.54;228.23;106.60;337.44;166.49;130.41;0.337
61;16;28;81.701;29.100;-0.643820;1;312.54;228.23;106.60;279.04;285.61;152.99;0.572
62;16;30;79.107;74.045;-0.063990;1;312.54;228.23;106.60;277.22;186.24;163.23;0.718
63;16;32;71.537;3.730;-0.947854;1;312.54;228.23;106.60;343.38;260.63;162.33;0.780
64;17;23;69.297;93.562;0.350158;1;317.29;392.08;108.85;329.26;327.59;131.53;0.327
65;17;31;78.883;110.993;0.407065;1;317.29;392.08;108.85;319.82;449.92;162.09;0.677
66;17;39;67.212;68.023;0.012073;1;317.29;392.08;108.85;305.92;379.07;174.08;0.967
67;18;21;75.234;48.842;-0.350799;1;387.91;205.21;104.62;434.24;258.86;129.04;0.326
68;18;24;69.558;100.847;0.449826;1;387.91;205.21;104.62;337.44;166.49;130.41;0.376
69;18;34;69.494;72.475;0.042891;1;387.91;205.21;104.62;393.59;217.40;172.65;0.981
70;19;22;77.090;127.164;0.649558;1;182.10;362.45;123.92;232.89;419.69;130.48;0.085
71;19;27;72.140;0.765;-0.989391;1;182.10;362.45;123.92;210.43;298.70;140.45;0.231
72;19;46;71.342;74.421;0.043161;1;182.10;362.45;123.92;197.29;393.82;186.60;0.874
73;19;47;74.660;86.474;0.158237;1;182.10;362.45;123.92;163.97;332.07;189.98;0.882
74;20;25;70.969;69.428;-0.021715;1;176.58;210.26;127.02;219.31;154.16;137.54;0.148
75;20;33;69.031;81.029;0.173806;1;176.58;210.26;127.02;161.15;259.90;173.19;0.664
76;20;35;75.041;73.579;-0.019479;1;176.58;210.26;127.02;230.72;238.82;171.93;0.592
77;20;45;70.501;67.352;-0.044664;1;176.58;210.26;127.02;183.05;190.98;195.87;0.959
78;21;29;77.469;95.147;0.228185;0;434.24;258.86;129.04;415.88;326.03;160.74;0.414
79;21;34;72.542;109.599;0.510830;1;434.24;258.86;129.04;393.59;217.40;172.65;0.601
80;21;41;71.531;99.763;0.394672;1;434.24;258.86;129.04;492.28;253.14;171.47;0.588
81;21;51;70.345;106.343;0.511735;1;434.24;258.86;129.04;429.78;268.19;198.39;0.989
82;22;46;70.841;95.418;0.346922;1;232.89;419.69;130.48;197.29;393.82;186.60;0.787
83;22;49;71.134;1.561;-0.978055;1;232.89;419.69;130.48;257.27;436.14;195.28;0.911
84;23;28;68.115;66.059;-0.030172;1;329.26;327.59;131.53;279.04;285.61;152.99;0.311
85;23;32;74.789;70.361;-0.059210;1;329.26;327.59;131.53;343.38;260.63;162.33;0.410
86;23;39;71.101;108.785;0.530005;1;329.26;327.59;131.53;305.92;379.07;174.08;0.601
87;23;50;69.713;69.897;0.002637;1;329.26;327.59;131.53;354.70;322.38;195.79;0.927
88;24;30;70.622;74.679;0.057460;1;337.44;166.49;130.41;277.22;186.24;163.23;0.460
89;24;38;70.715;83.868;0.185996;0;337.44;166.49;130.41;299.44;117.44;167.31;0.511
90;24;40;70.357;67.850;-0.035631;1;337.44;166.49;130.41;370.61;118.50;171.49;0.576
91;24;48;69.235;66.855;-0.034380;0;337.44;166.49;130.41;340.78;179.04;198.82;0.982
92;25;30;70.262;67.546;-0.038651;1;219.31;154.16;137.54;277.22;186.24;163.23;0.362
93;25;45;77.423;73.542;-0.050134;1;219.31;154.16;137.54;183.05;190.98;195.87;0.748
94;25;52;69.659;99.560;0.429257;1;219.31;154.16;137.54;242.90;137.02;200.97;0.909
95;26;37;69.304;68.694;-0.008799;1;415.06;428.12;138.80;375.66;384.01;175.23;0.524
96;26;44;70.371;71.728;0.019285;1;415.06;428.12;138.80;451.14;383.99;181.40;0.599
97;27;28;70.205;116.972;0.666154;1;210.43;298.70;140.45;279.04;285.61;152.99;0.177
98;27;33;70.121;84.850;0.210045;1;210.43;298.70;140.45;161.15;259.90;173.19;0.463
99;27;35;70.082;98.033;0.398841;1;210.43;298.70;140.45;230.72;238.82;171.93;0.446
100;27;36;68.109;71.958;0.056520;1;210.43;298.70;140.45;245.91;345.84;174.43;0.499
101;27;47;75.324;86.148;0.143705;1;210.43;298.70;140.45;163.97;332.07;189.98;0.655
102;28;32;70.198;28.424;-0.595086;1;279.04;285.61;152.99;343.38;260.63;162.33;0.134
103;28;35;70.753;82.378;0.164295;1;279.04;285.61;152.99;230.72;238.82;171.93;0.271
104;28;36;72.056;95.048;0.319083;0;279.04;285.61;152.99;245.91;345.84;174.43;0.298
105;28;54;69.630;47.188;-0.322310;1;279.04;285.61;152.99;292.37;304.82;218.47;0.942
106;29;37;71.475;109.303;0.529245;1;415.88;326.03;160.74;375.66;384.01;175.23;0.201
107;29;42;72.666;82.421;0.134239;1;415.88;326.03;160.74;487.87;321.66;175.24;0.197
108;29;44;70.188;73.668;0.049584;1;415.88;326.03;160.74;451.14;383.99;181.40;0.291
109;29;50;70.913;112.883;0.591840;1;415.88;326.03;160.74;354.70;322.38;195.79;0.496
110;29;51;70.095;76.524;0.091728;1;415.88;326.03;160.74;429.78;268.19;198.39;0.535
111;29;59;71.841;6.224;-0.913363;1;415.88;326.03;160.74;442.26;328.50;227.42;0.929
112;30;35;70.680;73.150;0.034940;1;277.22;186.24;163.23;230.72;238.82;171.93;0.123
113;30;38;72.307;106.987;0.479634;1;277.22;186.24;163.23;299.44;117.44;167.31;0.056
114;30;48;72.734;101.787;0.399432;1;277.22;186.24;163.23;340.78;179.04;198.82;0.486
115;30;52;70.798;67.469;-0.047023;1;277.22;186.24;163.23;242.90;137.02;200.97;0.532
116;30;53;73.177;106.421;0.454286;1;277.22;186.24;163.23;299.43;235.47;212.43;0.673
117;31;39;71.737;69.201;-0.035355;1;319.82;449.92;162.09;305.92;379.07;174.08;0.164
118;31;49;71.278;75.107;0.053718;0;319.82;449.92;162.09;257.27;436.14;195.28;0.460
119;31;58;71.641;71.533;-0.001506;1;319.82;449.92;162.09;320.77;417.61;226.50;0.894
120;32;34;67.050;70.818;0.056201;1;343.38;260.63;162.33;393.59;217.40;172.65;0.154
121;32;50;70.895;68.185;-0.038220;1;343.38;260.63;162.33;354.70;322.38;195.79;0.470
122;32;53;72.479;67.194;-0.072921;1;343.38;260.63;162.33;299.43;235.47;212.43;0.703
123;32;61;76.215;99.230;0.301985;1;343.38;260.63;162.33;365.68;267.27;234.40;0.952
124;33;35;71.814;70.185;-0.022680;1;161.15;259.90;173.19;230.72;238.82;171.93;-0.017
125;33;45;75.510;125.610;0.663485;1;161.15;259.90;173.19;183.05;190.98;195.87;0.299
126;33;47;73.951;61.121;-0.173498;1;161.15;259.90;173.19;163.97;332.07;189.98;0.226
127;33;55;80.543;70.286;-0.127353;1;161.15;259.90;173.19;219.68;292.95;218.68;0.560
128;33;64;70.512;50.734;-0.280494;1;161.15;259.90;173.19;155.37;264.68;242.74;0.994
129;34;43;73.927;143.945;0.947117;1;393.59;217.40;172.65;437.63;152.03;180.78;0.103
130;34;48;70.373;75.530;0.073270;1;393.59;217.40;172.65;340.78;179.04;198.82;0.372
131;34;51;68.478;76.828;0.121939;1;393.59;217.40;172.65;429.78;268.19;198.39;0.382
132;34;68;73.156;104.169;0.423932;1;393.59;217.40;172.65;404.80;207.63;244.58;0.979
133;35;45;70.263;97.008;0.380639;1;230.72;238.82;171.93;183.05;190.98;195.87;0.334
134;35;55;71.771;72.026;0.003562;0;230.72;238.82;171.93;219.68;292.95;218.68;0.646
135;35;63;68.580;71.079;0.036441;1;230.72;238.82;171.93;239.75;208.12;232.12;0.883
136;36;39;68.889;141.073;1.047852;1;245.91;345.84;174.43;305.92;379.07;174.08;-0.005
137;36;46;69.010;99.614;0.443478;0;245.91;345.84;174.43;197.29;393.82;186.60;0.176
138;36;54;75.437;92.513;0.226365;1;245.91;345.84;174.43;292.37;304.82;218.47;0.579
139;36;55;74.206;0.599;-0.991931;1;245.91;345.84;174.43;219.68;292.95;218.68;0.600
140;36;66;74.397;68.647;-0.077296;1;245.91;345.84;174.43;267.23;366.51;243.18;0.918
141;37;39;68.946;1.866;-0.972936;1;375.66;384.01;175.23;305.92;379.07;174.08;-0.016
142;37;44;76.399;97.281;0.273330;1;375.66;384.01;175.23;451.14;383.99;181.40;0.081
143;37;50;68.502;93.956;0.371581;1;375.66;384.01;175.23;354.70;322.38;195.79;0.301
144;37;57;75.607;68.283;-0.096878;1;375.66;384.01;175.23;389.74;437.95;226.18;0.675
145;37;58;81.946;66.750;-0.185437;1;375.66;384.01;175.23;320.77;417.61;226.50;0.623
146;38;40;71.282;30.359;-0.574105;1;299.44;117.44;167.31;370.61;118.50;171.49;0.059
147;38;48;80.553;30.231;-0.624708;0;299.44;117.44;167.31;340.78;179.04;198.82;0.391
148;38;52;69.087;86.607;0.253604;1;299.44;117.44;167.31;242.90;137.02;200.97;0.490
149;38;60;71.115;74.029;0.040977;1;299.44;117.44;167.31;331.87;113.18;230.70;0.889
150;39;49;77.364;82.714;0.069147;1;305.92;379.07;174.08;257.27;436.14;195.28;0.272
151;39;50;78.642;93.510;0.189051;1;305.92;379.07;174.08;354.70;322.38;195.79;0.279
152;39;58;66.175;67.935;0.026593;1;305.92;379.07;174.08;320.77;417.61;226.50;0.785
153;40;43;73.285;127.493;0.739695;1;370.61;118.50;171.49;437.63;152.03;180.78;0.123
154;40;48;72.486;1.887;-0.973963;1;370.61;118.50;171.49;340.78;179.04;198.82;0.375
155;40;60;70.482;87.362;0.239490;1;370.61;118.50;171.49;331.87;113.18;230.70;0.834
156;41;42;68.501;68.047;-0.006635;1;492.28;253.14;171.47;487.87;321.66;175.24;0.055
157;41;51;68.585;140.429;1.047515;1;492.28;253.14;171.47;429.78;268.19;198.39;0.386
158;41;56;68.503;238.889;2.487268;1;492.28;253.14;171.47;479.07;203.93;212.83;0.630
159;41;62;68.489;79.216;0.156621;1;492.28;253.14;171.47;490.23;279.20;236.04;0.927
160;42;44;71.980;110.988;0.541921;1;487.87;321.66;175.24;451.14;383.99;181.40;0.085
161;42;59;70.066;82.067;0.171294;1;487.87;321.66;175.24;442.26;328.50;227.42;0.749
162;42;62;74.226;73.468;-0.010212;1;487.87;321.66;175.24;490.23;279.20;236.04;0.819
163;43;56;76.517;202.829;1.650786;1;437.63;152.03;180.78;479.07;203.93;212.83;0.435
164;43;67;74.640;77.353;0.036347;1;437.63;152.03;180.78;398.02;136.28;246.65;0.840
165;43;68;86.313;127.643;0.478841;1;437.63;152.03;180.78;404.80;207.63;244.58;0.703
166;44;59;73.183;70.471;-0.037062;1;451.14;383.99;181.40;442.26;328.50;227.42;0.634
167;44;65;70.183;5.058;-0.927936;1;451.14;383.99;181.40;444.59;396.45;250.01;0.980
168;45;52;80.211;66.035;-0.176730;1;183.05;190.98;195.87;242.90;137.02;200.97;0.063
169;45;63;69.781;100.111;0.434634;1;183.05;190.98;195.87;239.75;208.12;232.12;0.522
170;46;47;69.934;80.549;0.151776;1;197.29;393.82;186.60;163.97;332.07;189.98;0.048
171;46;49;74.124;94.760;0.278397;1;197.29;393.82;186.60;257.27;436.14;195.28;0.117
172;46;70;72.475;81.674;0.126934;1;197.29;393.82;186.60;219.72;416.68;251.52;0.897
173;47;55;73.613;90.549;0.230074;1;163.97;332.07;189.98;219.68;292.95;218.68;0.388
174;47;72;73.287;102.659;0.400773;1;163.97;332.07;189.98;171.95;363.41;255.53;0.897
175;48;53;71.437;112.994;0.581739;0;340.78;179.04;198.82;299.43;235.47;212.43;0.191
176;48;60;73.055;87.600;0.199088;1;340.78;179.04;198.82;331.87;113.18;230.70;0.433
177;48;68;83.844;154.712;0.845229;1;340.78;179.04;198.82;404.80;207.63;244.58;0.547
178;48;75;71.340;117.744;0.650455;1;340.78;179.04;198.82;336.55;207.06;264.20;0.918
179;49;58;72.952;73.886;0.012804;1;257.27;436.14;195.28;320.77;417.61;226.50;0.427
180;49;70;70.666;83.585;0.182832;1;257.27;436.14;195.28;219.72;416.68;251.52;0.799
181;50;54;69.344;4.292;-0.938105;1;354.70;322.38;195.79;292.37;304.82;218.47;0.330
182;50;61;68.487;73.698;0.076093;1;354.70;322.38;195.79;365.68;267.27;234.40;0.566
183;50;69;70.094;120.430;0.718106;1;354.70;322.38;195.79;384.66;355.13;249.87;0.773
184;51;56;78.810;235.603;1.989492;1;429.78;268.19;198.39;479.07;203.93;212.83;0.176
185;51;59;67.616;76.163;0.126407;1;429.78;268.19;198.39;442.26;328.50;227.42;0.426
186;51;61;72.929;7.780;-0.893327;0;429.78;268.19;198.39;365.68;267.27;234.40;0.490
187;51;62;71.493;141.557;0.980005;1;429.78;268.19;198.39;490.23;279.20;236.04;0.522
188;51;73;70.067;73.211;0.044881;1;429.78;268.19;198.39;427.95;271.00;267.79;0.999
189;52;63;76.709;69.292;-0.096687;1;242.90;137.02;200.97;239.75;208.12;232.12;0.401
