bond_id;labelA;labelB;cx_A;cy_A;cz_A;cx_B;cy_B;cz_B;dist_vox;dist_um
0;1;2;164.40;278.50;36.96;174.12;345.36;41.14;67.695;1676.5
1;1;3;164.40;278.50;36.96;221.98;303.60;69.34;70.669;1750.2
2;1;10;164.40;278.50;36.96;159.77;272.88;103.70;67.133;1662.6
3;2;3;174.12;345.36;41.14;221.98;303.60;69.34;69.501;1721.3
4;2;4;174.12;345.36;41.14;210.83;397.02;67.77;68.742;1702.5
5;3;7;221.98;303.60;69.34;293.85;291.62;81.42;73.847;1828.9
6;3;10;221.98;303.60;69.34;159.77;272.88;103.70;77.426;1917.5
7;3;12;221.98;303.60;69.34;238.11;240.95;102.13;72.526;1796.2
8;3;13;221.98;303.60;69.34;256.66;355.17;104.94;71.619;1773.7
9;3;27;221.98;303.60;69.34;210.43;298.70;140.45;72.210;1788.4
10;4;13;210.83;397.02;67.77;256.66;355.17;104.94;72.333;1791.4
11;4;19;210.83;397.02;67.77;182.10;362.45;123.92;71.924;1781.3
12;4;22;210.83;397.02;67.77;232.89;419.69;130.48;70.233;1739.4
13;5;8;199.38;177.22;69.14;267.50;179.97;82.94;69.561;1722.7
14;5;12;199.38;177.22;69.14;238.11;240.95;102.13;81.552;2019.7
15;5;20;199.38;177.22;69.14;176.58;210.26;127.02;70.434;1744.4
16;5;25;199.38;177.22;69.14;219.31;154.16;137.54;74.886;1854.6
17;6;7;339.79;339.19;64.69;293.85;291.62;81.42;68.213;1689.4
18;6;9;339.79;339.19;64.69;370.98;280.34;98.17;74.548;1846.3
19;6;14;339.79;339.19;64.69;387.30;369.72;105.85;69.885;1730.8
20;6;17;339.79;339.19;64.69;317.29;392.08;108.85;72.483;1795.1
21;6;23;339.79;339.19;64.69;329.26;327.59;131.53;68.655;1700.3
22;7;9;293.85;291.62;81.42;370.98;280.34;98.17;79.730;1974.6
23;7;12;293.85;291.62;81.42;238.11;240.95;102.13;78.120;1934.7
24;7;13;293.85;291.62;81.42;256.66;355.17;104.94;77.295;1914.3
25;7;16;293.85;291.62;81.42;312.54;228.23;106.60;70.727;1751.6
26;7;23;293.85;291.62;81.42;329.26;327.59;131.53;71.130;1761.6
27;7;28;293.85;291.62;81.42;279.04;285.61;152.99;73.328;1816.0
28;8;11;267.50;179.97;82.94;296.50;116.94;96.49;70.691;1750.7
29;8;12;267.50;179.97;82.94;238.11;240.95;102.13;70.369;1742.8
30;8;16;267.50;179.97;82.94;312.54;228.23;106.60;70.126;1736.7
31;8;25;267.50;179.97;82.94;219.31;154.16;137.54;77.268;1913.6
32;9;16;370.98;280.34;98.17;312.54;228.23;106.60;78.748;1950.3
33;9;18;370.98;280.34;98.17;387.91;205.21;104.62;77.289;1914.1
34;9;21;370.98;280.34;98.17;434.24;258.86;129.04;73.601;1822.8
35;9;23;370.98;280.34;98.17;329.26;327.59;131.53;71.316;1766.2
