bead_id;voxels;volume_mm3;eq_diameter_um;feret_mean_um;centroid_z_vox;centroid_y_vox;centroid_x_vox;bbox_z;bbox_y;bbox_x;sphericity;wall_touching
234;287499;4.3672;2028.0023;2113.9078;715.6158;340.8961;210.8486;88;88;84;0.8057;0
43;236551;3.5933;1900.3398;2758.0973;183.9752;155.3327;433.4849;128;94;98;0.2154;1
134;229145;3.4808;1880.2970;1941.4000;443.8030;136.6003;389.7740;80;76;78;0.8548;0
217;226356;3.4384;1872.6373;1933.0068;662.5564;337.6491;388.3150;82;78;75;0.7841;0
187;226323;3.4379;1872.5463;1916.1760;582.2015;192.8859;283.6806;78;78;79;0.8767;0
90;224645;3.4124;1867.9070;1899.8152;313.0781;115.9069;321.7440;77;74;78;0.9041;0
88;219263;3.3307;1852.8693;1919.6562;309.7783;294.7013;153.9055;79;75;78;0.8493;0
138;217557;3.3048;1848.0513;1875.4808;452.6033;376.2891;448.2165;76;74;74;0.9465;0
197;217136;3.2984;1846.8584;1895.3646;594.0969;232.6732;364.7377;77;76;74;0.9084;0
178;216435;3.2877;1844.8688;1884.6232;562.1922;166.9087;184.6103;79;75;75;0.8384;0
212;216231;3.2846;1844.2890;1882.5873;648.1352;451.7519;313.5963;77;69;85;0.6725;0
109;216181;3.2839;1844.1469;1890.4565;374.1967;218.4434;241.1243;78;80;73;0.8064;0
272;214510;3.2585;1839.3830;1885.1764;817.5590;400.3987;368.3364;80;74;78;0.8002;0
111;214182;3.2535;1838.4450;1889.0999;378.5959;155.7709;417.6298;79;79;73;0.8297;0
14;213228;3.2390;1835.7114;1880.8516;107.1098;370.1206;386.8566;76;75;78;0.8581;0
254;213217;3.2388;1835.6798;1867.8169;763.7489;169.6025;333.8752;78;74;75;0.8581;0
171;212855;3.2333;1834.6404;1889.6678;532.6623;444.9934;345.0958;77;76;74;0.8905;0
110;212551;3.2287;1833.7665;1880.2559;369.3188;305.6893;197.6791;74;77;74;0.8892;0
210;211785;3.2171;1831.5610;1899.1408;645.8973;372.4518;236.9006;78;78;77;0.8523;0
220;211529;3.2132;1830.8227;1863.6796;669.7016;248.8355;134.2095;78;74;75;0.8513;0
67;211527;3.2132;1830.8170;1875.4106;247.2973;137.0237;398.4683;77;76;76;0.8849;0
55;211372;3.2108;1830.3697;1867.7739;219.4655;292.3690;219.5832;71;76;80;0.7885;0
58;211295;3.2096;1830.1474;1901.0131;227.2914;417.1219;320.8743;78;76;81;0.7593;0
126;210412;3.1962;1827.5944;1863.6308;411.5031;416.5403;280.4152;74;74;79;0.8151;0
189;208755;3.1711;1822.7843;1872.6093;591.9009;146.1635;397.6558;82;72;72;0.7231;0
227;208584;3.1685;1822.2865;1885.5076;697.6453;274.5437;402.1862;79;75;77;0.8080;0
56;208054;3.1604;1820.7418;2828.2085;221.4247;207.8899;474.5952;140;95;88;0.1448;1
161;207788;3.1564;1819.9655;1879.3701;507.9678;334.3393;223.5060;74;79;79;0.8049;0
48;207786;3.1563;1819.9596;1878.3912;199.8839;179.3762;340.3043;78;76;74;0.8362;0
5;207766;3.1560;1819.9012;1860.6444;70.1780;177.5092;199.8359;72;74;76;0.9039;0
144;207005;3.1445;1817.6766;1856.9578;457.6615;297.1748;185.8535;74;76;75;0.9006;0
86;206926;3.1433;1817.4453;1859.7205;306.8250;293.8584;484.7184;77;75;73;0.8657;0
221;206791;3.1412;1817.0500;1874.6577;666.0183;167.8061;284.1612;72;78;76;0.8322;0
165;206379;3.1350;1815.8424;1873.4579;523.7083;206.1485;233.7494;79;77;73;0.7994;0
3;206282;3.1335;1815.5579;1862.6122;70.4923;303.3838;223.1394;73;75;80;0.7695;0
155;206141;3.1314;1815.1442;1845.0442;492.4512;131.7789;239.2039;76;73;75;0.8969;0
269;206112;3.1309;1815.0590;1840.2765;812.7606;451.1122;297.5185;72;73;74;0.9714;0
125;206033;3.1297;1814.8271;1864.8616;412.0847;201.3857;167.4972;79;72;74;0.7981;0
107;205993;3.1291;1814.7097;1863.3626;359.4338;241.9860;475.6223;75;75;73;0.9325;0
149;204841;3.1116;1811.3204;1858.0697;479.4898;197.4424;364.4023;76;74;76;0.8912;0
9;204807;3.1111;1811.2202;1849.0836;99.3704;280.2182;370.8397;76;74;76;0.8911;0
262;204786;3.1108;1811.1583;1875.0948;778.7968;339.6170;341.8262;69;80;74;0.7639;0
152;204073;3.0999;1809.0539;1839.8962;489.7956;384.9239;342.3736;77;71;79;0.7905;0
