SCAN 1 Height Porosity Profiles (fraction of interior per height bin)
 Norm_height; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0167;         0.2114;       0.0001;       0.2113;       0.7457
      0.0500;         0.3139;       0.0010;       0.3130;       0.5891
      0.0833;         0.4036;       0.0019;       0.4017;       0.5640
      0.1167;         0.3618;       0.0019;       0.3599;       0.6286
      0.1500;         0.4536;       0.0037;       0.4498;       0.5111
      0.1833;         0.3591;       0.0014;       0.3577;       0.6112
      0.2167;         0.3967;       0.0009;       0.3958;       0.5910
      0.2500;         0.4531;       0.0014;       0.4517;       0.5379
      0.2833;         0.4406;       0.0015;       0.4391;       0.5544
      0.3167;         0.4828;       0.0021;       0.4808;       0.5113
      0.3500;         0.4119;       0.0012;       0.4107;       0.5823
      0.3833;         0.4689;       0.0018;       0.4670;       0.5251
      0.4167;         0.4578;       0.0018;       0.4560;       0.5370
      0.4500;         0.4389;       0.0029;       0.4360;       0.5559
      0.4833;         0.4921;       0.0056;       0.4865;       0.5032
      0.5167;         0.4762;       0.0023;       0.4739;       0.5200
      0.5500;         0.4594;       0.0028;       0.4566;       0.5370
      0.5833;         0.4228;       0.0019;       0.4209;       0.5741
      0.6167;         0.4287;       0.0015;       0.4273;       0.5679
      0.6500;         0.4363;       0.0023;       0.4340;       0.5550
      0.6833;         0.4087;       0.0020;       0.4067;       0.5791
      0.7167;         0.4828;       0.0052;       0.4776;       0.5104
      0.7500;         0.4964;       0.0049;       0.4916;       0.4980
      0.7833;         0.5025;       0.0031;       0.4994;       0.4940
      0.8167;         0.4421;       0.0018;       0.4402;       0.5544
      0.8500;         0.4128;       0.0016;       0.4112;       0.5836
      0.8833;         0.3918;       0.0018;       0.3900;       0.5981
      0.9167;         0.4556;       0.0026;       0.4531;       0.5351
      0.9500;         0.3643;       0.0020;       0.3623;       0.6247
      0.9833;         0.5677;       0.0085;       0.5592;       0.3668
