SCAN 1 Radial Porosity Profiles (method='distance_transform', fraction of interior per radial bin)
 Norm_radius; Voxel_count; Total_porosity; Air_porosity; Ice_fraction; Packing_frac
      0.0250;      448151;         0.4785;       0.0053;       0.4732;       0.5199
      0.0750;      989719;         0.4224;       0.0029;       0.4195;       0.5747
      0.1250;     1455821;         0.3980;       0.0025;       0.3954;       0.5983
      0.1750;     1907477;         0.3727;       0.0018;       0.3709;       0.6238
      0.2250;     2348268;         0.3860;       0.0027;       0.3833;       0.6106
      0.2750;     2790289;         0.4444;       0.0041;       0.4403;       0.5522
      0.3250;     3227101;         0.4753;       0.0040;       0.4712;       0.5220
      0.3750;     3665888;         0.4250;       0.0033;       0.4217;       0.5727
      0.4250;     4107354;         0.3552;       0.0017;       0.3535;       0.6426
      0.4750;     4548084;         0.3305;       0.0015;       0.3289;       0.6674
      0.5250;     4996716;         0.3444;       0.0024;       0.3420;       0.6535
      0.5750;     5441285;         0.4161;       0.0049;       0.4112;       0.5811
      0.6250;     5888012;         0.5128;       0.0065;       0.5063;       0.4835
      0.6750;     6348849;         0.5035;       0.0033;       0.5003;       0.4917
      0.7250;     6813784;         0.4080;       0.0016;       0.4064;       0.5862
      0.7750;     7283123;         0.3355;       0.0009;       0.3347;       0.6584
      0.8250;     7738785;         0.3239;       0.0008;       0.3231;       0.6694
      0.8750;     8199746;         0.3868;       0.0008;       0.3861;       0.6034
      0.9250;     8689584;         0.5208;       0.0020;       0.5189;       0.4622
      0.9750;     8863724;         0.7171;       0.0027;       0.7144;       0.2219
