Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	16.3830233	-26.9107067	-6.8960491	0.9893458	0.0000000	0.0000000	0.0000000	1.0244848	0.0000000	0.0000000	0.0000000	1.0244848	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	813.7911987	315.6738586	408.7458801	25.8007031	-12.0288073	-6.2171986	0.9992178	-0.0368539	-0.0143413	0.0369926	0.9992701	0.0095277	0.0139797	-0.0100508	0.9998518	0.0000000	81.6464844	12.0000000	2.0000000	0.0008631	2.0000000
2.0000000	351.8595276	290.5974731	352.8568115	27.1309726	-28.4168546	-5.6530783	0.9994573	-0.0311873	0.0106006	0.0309618	0.9993039	0.0208087	-0.0112422	-0.0204692	0.9997273	0.0000000	94.7109528	9.0000000	2.0000000	0.0009857	2.0000000
3.0000000	949.7031860	223.9669495	234.2420044	28.9074287	-10.6328517	-4.6310522	0.9994880	-0.0319929	-0.0003304	0.0319930	0.9994881	0.0002348	0.0003227	-0.0002453	0.9999999	0.0000000	81.4082794	12.0000000	2.0000000	0.0005935	2.0000000
4.0000000	334.5460815	384.3311462	377.2108154	22.1841448	-14.1771608	-0.1834986	0.9899219	-0.0305264	-0.1382848	0.0606974	0.9737090	0.2195601	0.1279468	-0.2257409	0.9657488	0.0000000	96.4558029	22.0000000	2.0000000	0.0009873	2.0000000
5.0000000	297.3479004	241.3175507	266.4718323	28.5711004	-32.3165540	-4.6351646	0.9990223	-0.0408381	-0.0169324	0.0410953	0.9990407	0.0151288	0.0162983	-0.0158099	0.9997422	0.0000000	79.9443283	11.0000000	2.0000000	0.0009336	2.0000000
6.0000000	557.7786255	137.6986694	320.5381775	32.1983138	-22.0255589	-2.8240086	0.9992175	-0.0395297	-0.0013677	0.0395480	0.9990519	0.0182005	0.0006470	-0.0182403	0.9998334	0.0000000	78.7218552	10.0000000	2.0000000	0.0009205	2.0000000
7.0000000	1127.4494629	382.0051270	257.7883606	23.4356175	-4.2165261	-7.2588940	0.9996358	-0.0264263	-0.0054672	0.0265158	0.9995040	0.0169878	0.0050155	-0.0171266	0.9998407	0.0000000	81.5375214	14.0000000	2.0000000	0.0006920	2.0000000
8.0000000	211.3189087	343.8457336	241.9334869	25.9695174	-33.0181059	-5.2112955	0.7692082	-0.5598162	-0.3080983	0.6221413	0.7661308	0.1611947	0.1458042	-0.3156730	0.9375989	0.0000000	250.2709198	100.0000000	1.0000000	0.0046179	2.0000000
9.0000000	1016.8060303	251.1769714	135.0180969	28.0170385	-9.9975616	-4.9707295	0.9994447	-0.0330319	-0.0043825	0.0331107	0.9992647	0.0193304	0.0037407	-0.0194647	0.9998035	0.0000000	71.7971420	12.0000000	2.0000000	0.0008544	2.0000000
10.0000000	768.9439697	168.8131561	198.6143799	30.9695295	-17.0922000	-3.4837592	0.9996991	-0.0245276	0.0003066	0.0245261	0.9996903	0.0042112	-0.0004098	-0.0042024	0.9999911	0.0000000	83.2787476	11.0000000	2.0000000	0.0006226	2.0000000
11.0000000	300.8641052	242.7980652	394.4671631	40.5919225	-25.1425558	11.2025467	0.9901462	-0.1148210	0.0801663	0.1136750	0.9933414	0.0187306	-0.0817831	-0.0094331	0.9966055	0.0000000	87.8866043	100.0000000	1.0000000	0.0046844	2.0000000
12.0000000	592.2419434	450.6317749	337.7164917	21.6027140	-20.9816684	-8.5130630	0.9992711	-0.0375430	-0.0069175	0.0376420	0.9991818	0.0147889	0.0063566	-0.0150385	0.9998667	0.0000000	73.5720596	14.0000000	2.0000000	0.0009773	2.0000000
13.0000000	636.6302490	461.3476257	272.6759338	21.1753904	-20.7018809	-8.7421261	0.9995246	-0.0278609	-0.0132012	0.0282693	0.9990935	0.0318283	0.0123025	-0.0321864	0.9994062	0.0000000	79.4033585	14.0000000	2.0000000	0.0010000	2.0000000
14.0000000	877.6619873	156.5118103	358.9458313	30.9910014	-10.6812302	-3.4287910	0.9993872	-0.0344958	-0.0059339	0.0346063	0.9992080	0.0196402	0.0052517	-0.0198335	0.9997895	0.0000000	79.7465057	12.0000000	2.0000000	0.0006753	2.0000000
15.0000000	1006.2209473	124.2232819	317.2247009	33.8086496	-6.6656358	-1.4527837	0.8382886	0.4951468	-0.2282581	-0.4728103	0.8686606	0.1479159	0.2715189	-0.0160735	0.9622989	0.0000000	66.4614105	100.0000000	1.0000000	0.0046353	2.0000000
16.0000000	1160.6867676	206.4394531	163.4409180	29.5503542	-4.7037107	-4.2626932	0.9991970	-0.0400464	-0.0013180	0.0400463	0.9991978	-0.0001131	0.0013215	0.0000602	0.9999991	0.0000000	83.1055374	13.0000000	2.0000000	0.0009057	2.0000000
17.0000000	714.0655518	316.2196350	482.9857483	25.9901095	-13.8753657	-6.2320860	0.9992552	-0.0385855	0.0003582	0.0385706	0.9990541	0.0200786	-0.0011326	-0.0200498	0.9997983	0.0000000	74.1414413	11.0000000	2.0000000	0.0008890	2.0000000
18.0000000	360.6268921	276.1507568	232.6347198	27.5588205	-30.2681346	-5.2204773	0.9995290	-0.0302806	0.0049940	0.0301918	0.9993999	0.0169795	-0.0055051	-0.0168207	0.9998434	0.0000000	72.2605972	11.0000000	2.0000000	0.0006760	2.0000000
19.0000000	423.5969849	210.6566467	324.4447327	29.7795231	-26.7611708	-4.1966933	0.9992900	-0.0374517	-0.0041133	0.0375539	0.9988885	0.0284854	0.0030419	-0.0286196	0.9995857	0.0000000	66.9362183	10.0000000	2.0000000	0.0005530	2.0000000
20.0000000	1118.1300049	416.2161255	190.5945282	22.3216148	-5.8209407	-7.9481467	0.9992108	-0.0393348	-0.0055287	0.0394257	0.9990705	0.0174289	0.0048380	-0.0176331	0.9998328	0.0000000	78.3574677	14.0000000	2.0000000	0.0007364	2.0000000
21.0000000	1112.2376709	254.3805237	126.6274719	27.9552452	-7.0044923	-5.1097139	0.9996611	-0.0257365	0.0039194	0.0256749	0.9995575	0.0150215	-0.0043042	-0.0149157	0.9998795	0.0000000	77.7312851	11.0000000	2.0000000	0.0009588	2.0000000
22.0000000	248.7267303	305.7745056	436.9919128	15.8332236	-56.8337119	-49.5085169	0.9725661	-0.2325956	0.0037969	0.2103299	0.8722577	-0.4415063	0.0993806	0.4301927	0.8972501	0.0000000	2519.4611816	100.0000000	1.0000000	0.0725413	2.0000000
23.0000000	1052.6231689	317.5036621	131.0171661	25.6908219	-9.0123016	-6.2266017	0.9991483	-0.0412176	0.0019299	0.0411969	0.9991032	0.0097808	-0.0023313	-0.0096929	0.9999503	0.0000000	79.3292389	12.0000000	2.0000000	0.0007620	2.0000000
24.0000000	582.8497925	294.6122742	357.9787903	26.8144052	-20.8690562	-5.8065068	0.9994364	-0.0329420	-0.0064517	0.0330672	0.9992456	0.0203687	0.0057759	-0.0205706	0.9997717	0.0000000	81.5537338	12.0000000	2.0000000	0.0006578	2.0000000
25.0000000	1060.3372803	241.2362976	388.7530823	27.9188927	-4.0627510	-4.8446289	0.9994270	-0.0331391	-0.0068922	0.0332490	0.9993110	0.0164920	0.0063409	-0.0167117	0.9998402	0.0000000	77.7789154	11.0000000	2.0000000	0.0009527	2.0000000
26.0000000	1061.8642578	262.0877991	311.2337952	27.4950292	-5.4087627	-5.2675210	0.9994787	-0.0320832	-0.0035998	0.0321446	0.9993112	0.0185410	0.0030025	-0.0186470	0.9998216	0.0000000	80.5550766	13.0000000	2.0000000	0.0008229	2.0000000
27.0000000	700.4546509	278.0381165	209.9259644	27.2806870	-19.4815959	-5.5385919	0.9996279	-0.0272607	-0.0009171	0.0272663	0.9996049	0.0068300	0.0007306	-0.0068524	0.9999763	0.0000000	78.1713791	12.0000000	2.0000000	0.0007691	2.0000000
28.0000000	332.0066528	420.2003174	310.6738892	23.1692483	-30.3646975	-7.8047754	0.9996135	-0.0213948	0.0177532	0.0212749	0.9997498	0.0069141	-0.0178966	-0.0065337	0.9998185	0.0000000	79.8709564	10.0000000	2.0000000	0.0007412	2.0000000
29.0000000	771.6165771	171.9376984	273.8859253	30.7480252	-15.9312970	-3.7103363	0.9993325	-0.0364950	0.0016384	0.0364400	0.9989962	0.0260536	-0.0025876	-0.0259765	0.9996592	0.0000000	80.3581238	12.0000000	2.0000000	0.0008596	2.0000000
30.0000000	948.9166870	462.9157715	276.7085876	20.8363310	-10.1735072	-8.7764533	0.9993048	-0.0372463	-0.0016315	0.0372577	0.9992768	0.0076000	0.0013473	-0.0076555	0.9999698	0.0000000	83.7649384	11.0000000	2.0000000	0.0007661	2.0000000
