Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	-24.7170291	-54.9087849	-72.7020811	0.8726467	0.0000000	0.0000000	0.0000000	1.2098512	0.0000000	0.0000000	0.0000000	1.2098512	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	37.8969612	279.3373718	165.2398834	-72.5958525	-9.4995285	-38.8668286	0.9999978	-0.0017244	-0.0012290	0.0017848	0.9987027	0.0508887	0.0011397	-0.0508908	0.9987036	0.0000000	34514.0703125	1.0000000	-2.0000000	22.5208321	2.0000000
2.0000000	41.7279930	345.4576111	175.0324860	-3.1561686	-35.3379662	18.1965239	0.9966654	0.0437141	0.0689003	-0.0426128	0.9989406	-0.0173736	-0.0695867	0.0143797	0.9974723	0.0000000	15629.5683594	300.0000000	1.0000000	0.0877831	2.0000000
3.0000000	70.4923325	303.3837891	223.1394196	-32.6427179	1.4506125	-27.0346540	0.9157564	0.1106533	0.3861943	-0.3798181	0.5516498	0.7425771	-0.1308754	-0.8267033	0.5472050	0.0000000	2072.3725586	93.0000000	2.0000000	0.0009927	2.0000000
4.0000000	69.4358215	396.4192200	211.1748352	33.2970011	-7.7926813	-36.8291977	-0.1954436	0.9746565	-0.1088419	-0.6967503	-0.2160987	-0.6839886	-0.6901745	-0.0578455	0.7213273	0.0000000	20524.0253906	300.0000000	1.0000000	0.1476658	2.0000000
5.0000000	70.1779938	177.5091705	199.8358765	-2.1716627	13.3579805	-65.3473023	0.8225131	-0.4806474	0.3040563	0.5645556	0.6252061	-0.5388825	0.0689146	0.6148946	0.7855924	0.0000000	1325.2164307	56.0000000	2.0000000	0.0009515	2.0000000
6.0000000	65.7671356	339.2097778	339.6229553	-61.0193479	28.7474732	18.5456500	0.9771375	-0.1926390	0.0899579	0.0184074	0.4981808	0.8668778	-0.2118098	-0.8454029	0.4903371	0.0000000	20181.2089844	300.0000000	1.0000000	1.6665763	2.0000000
7.0000000	82.3883972	291.2768555	294.3722229	23.4287919	14.7065664	-29.8307567	-0.0841751	0.9921327	0.0926679	-0.3006162	-0.1139493	0.9469136	0.9500234	0.0518491	0.3078428	0.0000000	10295.6660156	203.0000000	2.0000000	0.0009494	2.0000000
8.0000000	83.6509857	180.6697388	267.8869324	-34.1318070	-24.5251194	-26.6079534	0.9580756	-0.2856436	0.0223342	0.0728943	0.3183950	0.9451513	-0.2770875	-0.9038984	0.3258683	0.0000000	2681.8654785	300.0000000	1.0000000	0.0180608	2.0000000
9.0000000	99.3703995	280.2181702	370.8396912	-11.5593346	21.3396066	39.9004884	0.9823662	0.1612428	-0.0946434	0.1568555	-0.9862440	-0.0521454	-0.1017495	0.0363806	-0.9941446	0.0000000	1149.0067139	300.0000000	1.0000000	0.0548272	2.0000000
10.0000000	105.1270523	272.3657227	160.6040039	-17.1640957	-0.4367571	2.3114589	0.1107551	0.3848339	-0.9163166	-0.0083168	0.9223156	0.3863480	0.9938129	-0.0351692	0.1053518	0.0000000	1390.7504883	172.0000000	2.0000000	0.0009268	2.0000000
11.0000000	96.7134323	117.3360519	296.8894958	-36.2939420	-67.7222850	15.1390699	0.9733686	0.1742606	-0.1489524	-0.2251517	0.8489361	-0.4781361	0.0431308	0.4989396	0.8655628	0.0000000	901.3566284	120.0000000	2.0000000	0.0009990	2.0000000
