Label	Zpos	Ypos	Xpos	Zdisp	Ydisp	Xdisp	Fzz	Fzy	Fzx	Fyz	Fyy	Fyx	Fxz	Fxy	Fxx	PSCC	error	iterations	returnStatus	deltaPhiNorm	LabelDilate
0.0000000	0.0000000	0.0000000	0.0000000	79.2243687	-127.3543323	-86.4461990	0.8638138	0.0000000	0.0000000	0.0000000	1.1781607	0.0000000	0.0000000	0.0000000	1.1781607	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1.0000000	30.1327477	258.2111206	441.1195374	106.3814217	-65.3989371	18.2484622	-0.0395440	0.9870898	0.1552096	0.9820482	0.0097212	0.1883797	0.1844388	0.1598726	-0.9697541	0.0000000	2526.1813965	136.0000000	2.0000000	0.0008017	2.0000000
2.0000000	36.8644142	275.7347717	367.2989502	36.8615905	-24.5395430	-66.8501148	0.9664487	0.0192938	0.2561341	-0.0242148	0.9995776	0.0160727	-0.2557158	-0.0217357	0.9665076	0.0000000	13216.1484375	300.0000000	1.0000000	0.2264166	2.0000000
3.0000000	35.4949570	310.0542603	482.7985229	101.2365977	-58.0679172	-34.7021040	0.9435525	-0.3196387	-0.0868315	0.2819729	0.9127046	-0.2957391	0.1737812	0.2545612	0.9513142	0.0000000	2000.4702148	32.0000000	2.0000000	0.0009673	2.0000000
4.0000000	40.6615028	375.3906860	504.8949890	96.9176997	-49.0373959	-4.2255292	0.9956033	-0.0033899	0.0936082	-0.0660322	-0.7341941	0.6757209	0.0664360	-0.6789312	-0.7311899	0.0000000	1526.5220947	26.0000000	2.0000000	0.0009749	2.0000000
5.0000000	56.6323738	343.9852600	305.9916382	72.2584897	-85.7186489	-49.1641986	0.5626477	-0.5762275	0.5927811	-0.3413351	0.4911464	0.8014147	-0.7529395	-0.6532512	0.0796557	0.0000000	1081.5477295	86.0000000	2.0000000	0.0009935	2.0000000
6.0000000	59.8961449	383.3521729	438.6339722	84.9167856	-4.7834162	0.2652769	0.1169638	-0.9375179	0.3276883	0.9902413	0.1352661	0.0335440	-0.0757732	0.3205670	0.9441902	0.0000000	3970.0390625	26.0000000	2.0000000	0.0009345	2.0000000
7.0000000	59.5722198	217.7496338	338.8274841	68.7613498	-110.2218264	-40.9136045	-0.1797503	0.7557789	-0.6296731	0.9258352	-0.0863448	-0.3679317	-0.3324440	-0.6491093	-0.6842062	0.0000000	1451.3743896	297.0000000	2.0000000	0.0009648	2.0000000
8.0000000	63.3534393	411.5629883	338.6243286	72.6336144	-96.6305074	-19.9370296	-0.1284241	-0.9586500	-0.2539634	0.7107686	-0.2675602	0.6505533	-0.6916034	-0.0969625	0.7157395	0.0000000	3234.1247559	300.0000000	1.0000000	0.0061247	2.0000000
9.0000000	51.7462349	313.3572388	419.2308350	89.6833674	-69.2604340	23.4785663	0.5584589	-0.0752170	0.8261150	-0.8180646	0.1150817	0.5634948	-0.1374551	-0.9905042	0.0027360	0.0000000	2124.1315918	300.0000000	1.0000000	0.0140289	2.0000000
10.0000000	69.6696167	352.5539551	374.2592163	79.0619191	-74.4018230	10.9761310	-0.0032613	0.9482682	0.3174535	0.4572912	-0.2809036	0.8437878	0.8893110	0.1479205	-0.4327186	0.0000000	1775.4123535	126.0000000	2.0000000	0.0007167	2.0000000
11.0000000	69.7599792	277.0870972	311.0984192	61.1299191	-101.1650210	-15.8464305	0.7066685	0.0722314	0.7038482	-0.5329981	0.7085785	0.4624170	-0.4653307	-0.7019253	0.5392293	0.0000000	1151.8481445	65.0000000	2.0000000	0.0009381	2.0000000
12.0000000	74.8148651	451.0489502	423.4890137	70.6955477	-72.8869144	14.3934466	0.8948194	-0.3086052	-0.3225851	-0.0033726	0.7178974	-0.6961408	0.4464157	0.6240082	0.6413477	0.0000000	1037.5643311	158.0000000	2.0000000	0.0009950	2.0000000
13.0000000	73.7301559	232.1305847	405.8944092	66.3786722	-91.4144699	-15.3278609	0.5415521	-0.5323665	-0.6506206	-0.0365285	0.7583011	-0.6508803	0.8398732	0.3762518	0.3912130	0.0000000	1128.6359863	40.0000000	2.0000000	0.0009723	2.0000000
14.0000000	85.8687210	271.8779297	462.3605957	57.7829348	-90.3751446	-6.4429439	0.7772644	0.4827134	-0.4035440	-0.4910576	0.8664072	0.0905597	0.3933478	0.1277746	0.9104675	0.0000000	993.7178955	42.0000000	2.0000000	0.0009595	2.0000000
15.0000000	85.1546631	475.1459351	316.5889282	78.3209161	-72.2205398	-18.9509146	0.6885140	-0.4075943	0.5998461	-0.4262358	0.4417567	0.7894138	-0.5867465	-0.7991983	0.1304244	0.0000000	1324.8955078	100.0000000	2.0000000	0.0009830	2.0000000
16.0000000	90.3335876	401.5916138	276.4766541	37.1160578	-83.9775607	-68.4651925	0.3506557	-0.9363417	-0.0174620	-0.5008750	-0.1717552	-0.8483067	0.7913058	0.3062098	-0.5292171	0.0000000	1061.5616455	300.0000000	1.0000000	0.0026930	2.0000000
17.0000000	92.1715393	424.1041260	499.1131287	87.3020648	-46.0161546	10.3750991	0.0323078	-0.8833152	0.4676648	0.3942922	0.4412242	0.8061358	-0.9184170	0.1583521	0.3625393	0.0000000	859.8963013	300.0000000	1.0000000	0.0118200	2.0000000
18.0000000	91.6265945	235.5299072	257.9949951	78.2014617	-106.1076663	-74.0929325	0.0179504	0.9753823	0.2197888	-0.9526341	0.0834315	-0.2924509	-0.3035888	-0.2041286	0.9306801	0.0000000	1525.0511475	300.0000000	1.0000000	0.0678681	2.0000000
19.0000000	103.5784988	352.8666687	498.7052002	34.7484291	-30.3637138	-0.9778312	0.6337692	0.5072563	-0.5839757	-0.0531892	0.7817480	0.6213220	0.7716913	-0.3627136	0.5224284	0.0000000	1029.2985840	300.0000000	1.0000000	0.0061021	2.0000000
20.0000000	109.3961334	327.2525940	428.0857849	39.7418493	-52.1424642	-43.2558698	0.9489959	-0.1192036	0.2918856	-0.0853750	0.7940311	0.6018520	-0.3035091	-0.5960748	0.7433552	0.0000000	637.9031982	46.0000000	2.0000000	0.0009587	2.0000000
21.0000000	109.8506546	289.3056946	365.6734009	79.8667202	-115.3299781	-37.4608209	-0.0674247	-0.0554814	0.9961806	-0.2953184	0.9548222	0.0331899	-0.9530168	-0.2919526	-0.0807633	0.0000000	999.1159668	138.0000000	2.0000000	0.0009190	2.0000000
22.0000000	111.6412811	305.4578247	266.9478149	69.6220559	-71.0700464	-80.7245237	0.9431946	0.3270011	0.0587719	-0.3287500	0.9441418	0.0227971	-0.0480343	-0.0408234	0.9980111	0.0000000	2965.8225098	300.0000000	1.0000000	0.0054497	2.0000000
23.0000000	112.1123352	409.4127808	384.5270386	78.4850477	-74.2407198	-15.5008233	0.8159761	0.3417293	0.4662660	-0.1619343	0.9093962	-0.3831134	-0.5549416	0.2371069	0.7973833	0.0000000	289.7826538	66.0000000	2.0000000	0.0009772	2.0000000
24.0000000	113.1491013	486.6174316	378.0841675	20.0138370	-26.0719872	-59.7526067	0.9849958	-0.0795488	0.1531509	0.1314886	0.9207023	-0.3674481	-0.1117763	0.3820724	0.9173477	0.0000000	2943.1303711	174.0000000	2.0000000	0.0009778	2.0000000
25.0000000	115.4686127	481.7645264	470.1453247	31.2350826	-2.7601472	-5.0694831	0.9770930	-0.2128010	-0.0022225	0.2059618	0.9482154	-0.2418000	0.0535628	0.2358034	0.9703236	0.0000000	1147.9173584	144.0000000	2.0000000	0.0009578	2.0000000
26.0000000	117.1786880	364.7934265	221.8458099	59.0283145	-120.9321603	-35.6929891	-0.4184397	-0.2137794	-0.8827268	-0.1986196	0.9699183	-0.1407437	0.8862610	0.1164341	-0.4483130	0.0000000	11126.8251953	300.0000000	1.0000000	0.0180110	2.0000000
27.0000000	126.0729599	216.9994507	312.1278992	60.3841492	-109.4409432	-60.5621210	0.8905299	-0.3965522	0.2229416	0.3850996	0.9180108	0.0946279	-0.2421877	0.0015858	0.9702281	0.0000000	1137.9053955	240.0000000	2.0000000	0.0004122	2.0000000
28.0000000	126.7110748	392.4737854	448.4730225	97.4978266	-35.8795945	-11.2017303	0.8514586	-0.3563696	-0.3847322	0.2307861	0.9134032	-0.3353094	0.4709097	0.1967112	0.8599702	0.0000000	407.3136292	300.0000000	1.0000000	0.0025261	2.0000000
29.0000000	127.7224808	440.5832214	200.4328613	64.2451911	-13.5477872	-64.1513313	0.4191806	-0.3799660	-0.8245687	-0.5412481	0.6245944	-0.5629674	0.7289295	0.6822812	0.0561619	0.0000000	593.0870361	20.0000000	2.0000000	0.0009607	2.0000000
30.0000000	129.7357330	474.0273438	264.9158936	59.8986744	-66.9444544	-34.0430315	0.9402170	0.3003257	0.1606128	-0.2881221	0.9528615	-0.0950826	-0.1815974	0.0431222	0.9824270	0.0000000	665.4003906	104.0000000	2.0000000	0.0009887	2.0000000
31.0000000	133.8203583	316.9892273	174.9496460	49.9436320	-77.7708351	-91.4235706	0.9658213	-0.2582852	-0.0218640	0.2589560	0.9577148	0.1253959	-0.0114484	-0.1267719	0.9918658	0.0000000	1437.3728027	300.0000000	1.0000000	0.0018624	2.0000000
32.0000000	134.8401337	429.4251099	320.2706604	98.2017757	-27.3873034	-34.0155856	0.9986596	0.0015090	-0.0517369	-0.0411550	-0.5830342	-0.8114046	-0.0313888	0.8124462	-0.5821906	0.0000000	894.6261597	300.0000000	1.0000000	0.0027417	2.0000000
33.0000000	140.8135681	243.5601501	428.9836731	68.9973584	-58.3510510	4.8888093	0.7354419	-0.1331523	0.6643761	-0.2033122	0.8919589	0.4038236	-0.6463662	-0.4320645	0.6289125	0.0000000	869.8955078	42.0000000	2.0000000	0.0009695	2.0000000
34.0000000	143.7697754	350.3005066	370.9895630	49.6422297	-101.2200606	-41.4785640	0.7131464	0.6899354	-0.1241422	-0.6818611	0.6415839	-0.3513341	-0.1627502	0.3352004	0.9279834	0.0000000	183.4554291	120.0000000	2.0000000	0.0009668	2.0000000
35.0000000	139.1883850	260.0524597	214.6597290	57.0258304	-73.6174326	-84.9652816	0.5640026	-0.4145228	-0.7141932	0.6716150	0.7334698	0.1046673	0.4804522	-0.5386955	0.6920786	0.0000000	1301.2542725	25.0000000	2.0000000	0.0009479	2.0000000
