id,scan,projections,time_s,kV,uA,int_ms,FOD_mm,FDD_mm,voxel_um
G1,1,,,,,,,,
G1,2,,,,,,,,
G1,3,,,,,,,,
G2,1,,,,,,,,
G2,2,,,,,,,,
G3,1,1100,1771,150,300,267,270.0,1072.5,24.766
G3,2,1100,1614,150,300,267,270.0,1072.5,24.766
G3,3,1100,1675,150,300,267,270.0,1072.5,24.766
G3,4,1100,1693,150,300,267,270.0,1072.5,24.766
G4,1,,,,,,,,
G4,2,,,,,,,,
G5,1,1000,1810,150,300,267,270.0,1072.5,24.766
G5,2,1000,1458,150,300,267,270.0,1072.5,24.766
A1,1,1000,1491,150,300,267,270.0,1072.5,24.766
A1,2,1000,1523,150,300,267,270.0,1072.5,24.766
A1,3,1000,1667,150,300,267,270.0,1072.5,24.766
A2,1,900,1507,150,300,267,270.0,1072.5,24.766
A2,2,1000,1726,150,300,267,270.0,1072.5,24.766
A3,1,1000,1492,150,300,267,270.0,1072.5,24.766
A3,2,1000,1853,150,300,267,270.0,1072.5,24.766
A4,1,1100,1801,150,300,267,270.0,1072.5,24.766
A4,2,1100,1669,150,300,267,270.0,1072.5,24.766
A4,3,1100,1636,150,300,267,270.0,1072.5,24.766
S1,1,1000,1512,150,300,267,270.0,1072.5,24.766
S1,2,1000,1457,150,300,267,270.0,1072.5,24.766
S2,1,900,1888,150,300,267,270.0,1072.5,24.766
S2,2,900,1377,150,300,267,270.0,1072.5,24.766
S2,3,900,1295,150,300,267,270.0,1072.5,24.766
S3,1,1000,1539,150,300,267,270.0,1072.5,24.766
S3,2,1000,1482,150,300,267,270.0,1072.5,24.766
