id,specimen,which,scan,grains,throats,bonded,z_bar,gap_med_um,gap_p90_um,neck_over_R_med,neck_over_R_p10,neck_um_med,bridge_mm3_med,cracked
G1,Glass_75_1700_T5_HR,last,3,355,984,976,5.5,25.0,194.0,0.83,0.68,708.0,0.0438,187
G1,Glass_75_1700_T5_HR,first,1,365,1364,1364,7.47,25.0,169.0,0.79,0.68,680.0,0.0431,0
G2,Glass_75_1000_T6,last,2,252,709,706,5.6,25.0,171.0,0.81,0.68,710.0,0.0445,46
G2,Glass_75_1000_T6,first,1,302,1023,1023,6.77,25.0,169.0,0.81,0.67,707.0,0.0449,0
G3,Glass_100_1700_T7,last,4,351,943,910,5.19,25.0,164.0,0.74,0.44,656.0,0.0455,115
G3,Glass_100_1700_T7,first,1,375,1367,1367,7.29,25.0,165.0,0.77,0.66,678.0,0.0466,0
G4,Glass_100_1700_T5_HR,last,2,318,998,993,6.25,25.0,161.0,0.79,0.63,684.0,0.0456,77
G4,Glass_100_1700_T5_HR,first,1,354,1284,1284,7.25,25.0,139.0,0.79,0.68,683.0,0.0439,0
G5,Glass_100_1800_T5,last,2,277,760,748,5.4,25.0,164.0,0.76,0.45,667.0,0.0446,176
G5,Glass_100_1800_T5,first,1,280,973,973,6.95,25.0,181.0,0.8,0.68,698.0,0.0452,0
A1,Alumina_100_1800_T5,last,3,258,707,704,5.46,35.0,177.0,0.78,0.64,697.0,0.0539,200
A1,Alumina_100_1800_T5,first,1,290,888,888,6.12,25.0,177.0,0.78,0.65,695.0,0.0535,0
A2,Alumina_175_1800_T5,last,2,265,717,706,5.33,25.0,185.0,0.72,0.41,638.0,0.0507,281
A2,Alumina_175_1800_T5,first,1,299,973,972,6.5,25.0,161.0,0.73,0.6,642.0,0.0525,0
A3,Alumina_75_1000_T5,last,2,2185,8175,7960,7.29,45.0,209.0,0.75,0.54,354.0,0.0095,945
A3,Alumina_75_1000_T5,first,1,2407,11121,11103,9.23,25.0,193.0,0.74,0.59,352.0,0.0093,0
A4,Alumina_75_1800_T7,last,3,295,842,834,5.65,25.0,169.0,0.74,0.58,654.0,0.0511,251
A4,Alumina_75_1800_T7,first,1,330,1044,1044,6.33,25.0,168.0,0.74,0.61,659.0,0.0522,0
