b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
1,105,2,70,1.0,1.0,0.0,19.491405385001347,777.7218265738602,27.30351174194334,True,survived,0.0,0.0,
1,110,2,89,1.0,1.0,0.0,39.46017197761349,785.1333964241389,29.103652814295785,True,survived,0.0,0.0,
1,117,2,116,8.288221436384907,8.281885242839627,-0.006336193545280366,49.50553967450291,841.2315598732748,25.65667251667837,True,survived,0.0,0.0,
1,177,2,125,1.0,1.414213562373095,0.4142135623730949,52.819396218161,790.548161202543,23.8365926012521,True,survived,0.0012288786482334,0.1381483276781386,0.2662619222137302
1,207,2,230,1.0,1.0,0.0,71.64293225171012,801.9911688419559,30.492346212498187,True,survived,0.0,0.0,
1,283,2,236,1.7320508075688772,1.414213562373095,-0.31783724519578227,87.87659221472693,812.3951470737627,25.60699837034026,True,survived,0.0027322404371584,0.1519302615193026,0.375
1,300,2,243,6.483314773547883,6.6212327846342935,0.13791801108641089,87.8541302233598,812.209187852698,18.78844495368959,True,survived,0.0994271685761047,0.3501118568232662,0.3435838933789736
1,50,2,49,1.414213562373095,2.0,0.5857864376269051,77.99694204470637,821.8387226960114,24.97136494134924,True,survived,0.0,0.0850277264325323,
1,70,2,47,1.0,1.0,0.0,22.05366551277226,849.5317236087707,24.168132760874517,True,survived,0.0045262522631261,0.2630069643588693,0.3203772410170407
1,81,2,81,1.8284271247461903,1.7320508075688772,-0.0963763171773131,37.46235796003023,844.5743899407055,26.468850739889017,True,survived,0.0002777777777777,0.2236002834868887,0.2661832955178855
1,88,2,107,9.348469228349536,9.74165738677394,0.3931881584244046,85.68469077362043,817.0086650968069,24.63125337992984,True,survived,0.0,0.0,
3,79,3,95,1.0,1.0,0.0,47.92303586260832,924.476043854421,27.92595962810029,True,survived,0.0298055064410204,0.2344676865438651,0.3956439237389599
3,98,3,71,6.348469228349534,6.713293552551451,0.36482432420191735,73.22419923209976,937.8262297505664,20.958712816717327,True,survived,0.1959874232669561,0.3791304347826087,0.3284126788115424
3,126,3,105,1.0,1.0,0.0,86.10761722205868,952.2728029320684,33.64386950500135,True,survived,0.0,0.0,
3,277,3,241,2.146264369941973,1.8284271247461903,-0.3178372451957827,85.02373418305137,946.343115829619,29.381225490616288,True,survived,0.0,0.0,
6,104,9,86,1.0,1.0,0.0,81.2841142776843,552.2080610193611,28.46223217419441,True,survived,0.0,0.0793140407288317,
6,131,9,83,1.0,1.0,0.0,25.473306131714036,523.0551360979096,28.209479177387816,True,survived,0.0,0.0504720406681191,
6,143,9,123,8.657737169873558,8.126822193908446,-0.5309149759651124,52.50376547988412,583.1385281919077,23.883285285767386,True,survived,0.0015583259127337,0.0743142144638404,0.4448050666309651
6,266,9,288,1.0,1.7320508075688772,0.7320508075688772,52.33532344873255,534.8796118940672,32.40040130359718,True,survived,0.0,0.0,
6,339,9,325,1.0,1.0,0.0,43.00393134076843,584.8702994718092,21.94545187040074,True,survived,0.0,0.1052353252247488,
3,153,3,169,1.8284271247461903,1.8284271247461903,0.0,47.71224403539,975.8151168899368,30.834909275543243,True,survived,0.0,0.0,
3,183,3,165,3.685557720282968,3.1815405503520555,-0.5040171699309126,38.97792682364659,980.1143934278716,28.900607975374268,True,survived,0.0,0.0,
3,267,3,255,1.0,1.0,0.0,26.549077810988432,916.2836207522078,28.85100262331645,True,survived,0.0,0.179588128407026,
3,272,3,252,1.7320508075688772,1.7320508075688772,0.0,53.05146868782644,972.3350537247152,28.428661611490693,True,survived,0.0,0.0172968624296057,
9,89,7,92,1.0,1.414213562373095,0.4142135623730949,85.7400716827372,1019.6131460511764,36.39350816300557,True,survived,0.0,0.0,
9,174,7,166,1.0,1.0,0.0,57.96216746700704,996.5210544058712,31.539156525252,True,survived,0.0,0.0884981262611703,
9,183,7,165,1.0,1.0,0.0,85.09351337992939,1013.6658133974864,29.77937781264143,True,survived,0.0,0.118429003021148,
10,29,5,31,1.0,1.0,0.0,87.96823446494045,770.2802695917815,29.288993551594015,True,survived,0.0,0.0005765350245027,
