b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
11,12,34,14,1.0,1.0,0.0,88.06897653020917,401.9720672923479,31.93033926294366,True,survived,0.0009375,0.2574257425742574,0.4
11,13,34,12,1.0,1.0,0.0,89.20533804435168,403.5739147727078,39.37622957573826,True,survived,0.0027955271565495,0.1926666666666666,0.4305008740430604
11,18,34,20,8.719749027788248,59.14578099568996,50.426031967901714,81.44478448695465,408.9849866610178,35.12958053741257,True,separated,,,
11,32,34,53,1.0,1.0,0.0,46.34492308905926,427.8846607830899,38.36074300411378,True,survived,0.0413559322033898,0.2486842105263157,0.4211646096066227
12,13,14,12,1.0,1.0,0.0,87.3490721734714,402.4470402145507,27.4604464706858,True,survived,0.0246153846153846,0.0764053840063341,0.4
13,28,12,42,1.0,1.0,0.0,51.19672812489796,425.29790782006046,30.372060354224,True,survived,0.0,0.0290791599353796,
13,40,12,67,1.0,13.848135229184983,12.848135229184983,10.727905228029604,439.7746024664853,26.83313180655092,True,separated,,,
12,18,14,20,6.330293345472711,48.793555171457896,42.463261825985185,79.64544822257153,407.8581121028608,37.77543143052021,True,separated,,,
16,33,21,41,1.0,4.766114533138578,3.7661145331385777,47.25776891834554,428.2599653337364,30.01891549983629,True,survived,0.0,0.0073212747631352,
19,41,26,55,1.0,12.094392054191673,11.094392054191673,7.295242104668902,449.3238679346916,32.14890667563624,True,separated,,,
21,24,28,31,1.0,1.0,0.0,76.16895823141824,431.2279128240385,26.378502823279536,True,survived,0.0,0.0729166666666666,
21,31,28,4,1.0,1.0,0.0,66.22967503383245,437.04913501681415,27.37337158766971,True,survived,0.0232396808879639,0.1943478260869565,0.4142135623730951
21,34,28,29,1.0,63.21204550635122,62.21204550635122,57.40757654959099,441.2714218071929,27.9544409813755,True,separated,,,
21,44,28,77,1.0,16.261666202630153,15.261666202630153,15.83295353791132,455.8105681999057,27.604960922341384,True,separated,,,
18,39,20,33,1.0,1.0,0.0,38.86353739151485,441.2833037424448,36.61151363601268,True,survived,0.0,0.0,
19,25,26,36,1.0,1.7320508075688772,0.7320508075688772,66.7194188447873,428.5587145588768,28.65727667372076,True,survived,0.0,0.0556485355648535,
19,37,26,22,7.840676900366725,1.0,-6.840676900366725,55.92384978144867,436.9709820073774,24.727985994800747,True,survived,0.0100217864923747,0.0859570214892553,0.4026997478492771
24,35,31,46,1.0,1.0,0.0,72.3427084371783,449.8634264348787,32.163754912903435,True,survived,0.0,0.0008049909438518,
24,44,31,77,1.0,34.72172607682788,33.72172607682788,44.419060203628746,464.0207845380168,30.230244511642027,True,separated,,,
24,45,31,72,1.0,18.747618117837106,17.747618117837106,45.124523999356754,464.2183543201723,25.45739437315213,True,separated,,,
25,37,36,22,1.0,1.0,0.0,76.04132297712772,450.62600745686507,28.39505135941018,True,survived,0.0,0.1538054968287526,
25,41,36,55,1.0,5.928203230275509,4.928203230275509,53.169816640622166,462.9788933841793,28.333329012940226,True,survived,0.0,0.0,
25,51,36,51,9.6878320578688,1.0,-8.6878320578688,44.32450591549206,471.40680283599306,23.16614918595387,True,survived,0.0,0.0,
28,29,42,35,1.0,44.320834163959745,43.320834163959745,87.85953381532691,447.86056856649,26.462837142006137,True,separated,,,
28,35,42,46,11.225303344945887,21.483761796769322,10.258458451823435,80.16139107580227,453.41782582640906,21.16275052682409,True,separated,,,
