b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
104,121,39,71,1.0,74.26813203438905,73.26813203438905,65.93921216364961,329.5190023957921,34.09498063268556,True,separated,,,
104,132,39,67,1.0,7.3484692283495345,6.3484692283495345,4.522851053539596,350.1494761464842,30.293355737981035,True,detached,0.0,0.0,
118,119,51,53,1.0,44.98498334976609,43.98498334976609,84.40570080003864,344.6034202744946,27.79456950139829,True,separated,,,
118,127,51,75,1.0,1.0,0.0,63.2035723161997,357.11257038995643,25.136529674456348,True,survived,0.1752650176678445,0.8868305826877737,0.4045372666182638
118,135,51,50,2.146264369941973,22.869877895173165,20.72361352523119,56.432553746408985,360.9096782659786,26.00173452395765,True,separated,,,
120,128,40,61,1.0,40.386553559231096,39.386553559231096,64.04842824314045,366.07417853148553,27.086976347566694,True,separated,,,
120,149,40,74,1.0,5.81864367245563,4.81864367245563,2.4821327956114216,385.7341282496709,27.76019154204375,True,survived,0.0154173312068048,0.2420957542908762,0.3660254037844386
121,132,71,67,6.5630027024141775,44.33197744264103,37.76897474022685,57.86502828596127,364.94461754210886,25.774264925804797,True,separated,,,
127,135,75,50,1.0,4.0197648378370845,3.0197648378370845,83.59078683078593,376.7830943522608,25.774264925804797,True,survived,0.0009903441445902,0.2039772727272727,0.4257367597777097
127,145,75,66,1.0,36.99564656237978,35.99564656237978,64.04680577353761,388.623300885736,28.33894569036936,True,separated,,,
127,150,75,78,1.0,29.05196143242349,28.05196143242349,42.87256237501504,399.39200597109584,27.32099345011065,True,separated,,,
127,153,75,111,1.0,18.89385313663515,17.89385313663515,34.864887591438006,402.0886778369371,24.43663942690957,True,separated,,,
128,132,61,67,1.0,1.0,0.0,87.12090513453326,383.7650588874647,33.26327050028088,True,survived,0.0,0.024655547498187,
128,149,61,74,2.863703305156273,2.449489742783178,-0.4142135623730949,58.22492107087502,401.6149762003138,25.700058634784583,True,survived,0.0,0.0054112554112554,
128,154,61,85,7.0990195135927845,6.817337799805944,-0.28168171378684015,48.16778875879465,408.91901499279226,22.305119414727752,True,survived,0.0,0.0,
128,157,61,91,1.0,1.0,0.0,6.815097491049221,416.2291752078632,30.09304946649449,True,survived,0.0,0.0,
