bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,dsum_min,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,neck_binder_vox,neck_crack_vox,neck_severed,q_crack_med,q_binder_med,q_pore_med,dq_paired,cls
4,10,32.6302432937921,33.37700866486862,18.027756377319943,446.4758272763268,19.027756377319943,71.5209382502815,44.12905982338679,130,0.0019747501831988,130,0,0,1.0,0.0,0.0,True,398.0,11.255546841497692,0.3410397041993768,408,0,0.0,,0.0697358853634202,,,intact
9,39,32.032817108073615,35.71522898711664,10.0,247.660229,11.0,108.14090463327828,6.017637038737911,6485,0.0985096533695744,3300,3185,0,0.5088666152659984,0.4911333847340015,0.0,False,1676.0,23.09734550211416,0.6818601224206802,1795,0,0.0,,0.2547778406202406,0.3574704445205464,,intact
11,16,35.50058335606696,35.09133206934256,1.0,24.7660229,2.0,128.40047089003218,87.83192498531767,2958,0.0449331618607866,2483,374,101,0.8394185260311021,0.1264367816091954,0.0341446923597025,True,1838.0,24.18788065965696,0.6852875577576564,2446,568,0.1884538818845388,0.4270509831248423,0.2817290466902531,0.407669683062202,0.1453219364345891,intact
13,57,35.11270941990711,35.35361230790185,1.0,24.7660229,2.0,155.92303491441874,31.218879229103475,2826,0.0429280309055385,2637,123,66,0.9331210191082804,0.0435244161358811,0.0233545647558386,True,2117.0,25.9588526143026,0.7367733117835821,2192,705,0.2433551950293407,0.4211646096066227,0.303832434700687,0.4211646096066227,0.1173321749059356,intact
14,16,35.2703292748547,35.09133206934256,1.0,24.7660229,2.0,129.88461522275634,89.74129809032728,2657,0.04036085566738,2597,51,9,0.977418140760256,0.0191945803537824,0.0033872788859616,True,4072.0,36.00219238519226,1.0233468538804298,4254,90,0.0207182320441988,0.4340578300578996,0.3090169943749474,0.4340578300578996,0.1250408356829522,intact
14,48,35.2703292748547,34.753798511171915,1.0,24.7660229,2.0,151.48206268545715,52.882387036127554,2525,0.0383557247121319,2508,17,0,0.9932673267326732,0.0067326732673267,0.0,True,4073.0,36.00661281523964,1.028405892473674,4073,134,0.0318516757784644,,0.3090169943749474,0.4211646096066227,,intact
14,64,35.2703292748547,31.39633860779166,1.0,24.7660229,2.0,164.0147392472441,6.004927048012981,2374,0.0360619764224163,2246,128,0,0.9460825610783488,0.0539174389216512,0.0,True,2816.0,29.93928254807644,0.8981784600597916,2847,0,0.0,,0.2958163163244892,0.4241077963657325,,intact
12,63,32.78474429199507,34.04542715074749,5.0,123.8301145,6.0,160.18466002972207,7.446087048573338,4256,0.0646502829207261,4237,19,0,0.9955357142857144,0.0044642857142857,0.0,True,2972.0,30.757389059187485,0.9204641674618236,3023,269,0.0817132442284325,,0.2779262976266636,0.3833180986057291,,intact
13,15,35.11270941990711,34.750306263080205,1.0,24.7660229,2.0,126.93301115022793,87.95142736019756,2588,0.0393127190316821,2581,7,0,0.9972952086553324,0.0027047913446676,0.0,True,3752.0,34.558626896356614,0.9893253693247644,3752,12,0.0031880977683315,,0.303832434700687,0.4340578300578996,,intact
13,25,35.11270941990711,36.72730441177014,1.0,24.7660229,2.0,122.83468645511972,85.61010701415896,2626,0.0398899537006171,2596,26,4,0.9885757806549884,0.0099009900990099,0.0015232292460015,True,2260.0,26.821266613927214,0.7466943610776591,2295,191,0.076830249396621,0.4415184401122529,0.303832434700687,0.430554406591371,0.1376860054115658,intact
13,43,35.11270941990711,35.686945990301986,1.0,24.7660229,2.0,140.61516191343307,64.52395684228965,2951,0.0448268291586143,2850,65,36,0.9657743137919348,0.0220264317180616,0.0121992544900033,True,3940.0,35.413852537730705,1.0003961836408637,4000,311,0.0721410345627464,0.4305008740430604,0.3008613653919205,0.4142135623730951,0.1296395086511399,intact
11,18,35.50058335606696,35.44486775278347,5.513233075965879,136.54085661240842,6.513233075965879,126.98942110838354,89.87601495519561,5540,0.0841547385763211,5151,385,4,0.9297833935018052,0.0694945848375451,0.0007220216606498,True,2469.0,28.034034832463544,0.790298303677043,2527,130,0.0489273616861121,0.4181390061939277,0.2598751755617592,0.4107012130722742,0.1582638306321684,intact
11,51,35.50058335606696,33.515016123006816,4.65685424949238,115.33175898489058,5.65685424949238,150.65334692644174,51.43798192656916,4655,0.0707112469445441,4655,0,0,1.0,0.0,0.0,True,2510.0,28.265841829340843,0.8191145782312976,2631,0,0.0,,0.2779262976266636,,,intact
11,60,35.50058335606696,34.6394418407235,1.0,24.7660229,2.0,162.50523918625422,11.332777379420504,2595,0.0394190517338543,2590,5,0,0.9980732177263968,0.001926782273603,0.0,True,2091.0,25.798952924688752,0.735641393121977,2769,501,0.1532110091743119,,0.3090169943749474,0.4285714285714285,,intact
12,43,32.78474429199507,35.686945990301986,5.928203230275509,146.8180169568572,6.928203230275509,139.20678919420078,63.91177633059732,5693,0.0864788676380859,5043,382,268,0.8858246969963113,0.0670999473037063,0.0470753556999824,True,3562.0,33.67224100927443,0.9835376013195976,3562,158,0.0424731182795698,0.3908712114635714,0.25,0.3900959445746376,0.1408712114635714,cohesive
17,28,35.8170633212898,33.90451377170122,5.0,123.8301145,6.0,130.76856778679831,83.02541584228898,2298,0.0349075070845461,1531,386,381,0.6662315056570931,0.1679721496953873,0.1657963446475195,True,1247.0,19.923163104065253,0.5715063810875296,1261,244,0.162126245847176,0.3908712114635714,0.2052130961576726,0.3375458469590383,0.1856581153058988,cohesive
17,29,35.8170633212898,34.4252307996975,1.0,24.7660229,2.0,128.80446869835782,85.72251648932902,2904,0.0441128810154578,2753,137,14,0.9480027548209368,0.0471763085399449,0.0048209366391184,True,944.0,17.334489682638438,0.4935627430613534,1190,498,0.2950236966824645,0.4176890859898589,0.3090169943749474,0.4285714285714285,0.1086720916149114,intact
17,35,35.8170633212898,32.74731308318247,1.0,24.7660229,2.0,129.3343988560204,84.40224232635391,2564,0.0389481497670915,2562,2,0,0.999219968798752,0.000780031201248,0.0,True,1884.0,24.48868770616877,0.7143268557335393,2008,206,0.0930442637759711,,0.3090169943749474,0.4836257084985633,,intact
17,67,35.8170633212898,34.63440074247107,6.348469228349534,157.22633428924988,7.348469228349534,163.6261011739459,20.46837859392061,6019,0.0914309334821077,5434,393,192,0.9028077753779696,0.0652932380794151,0.031898986542615,True,1782.0,23.816553427805523,0.6761123773453668,2031,775,0.2761938702779757,0.3711919688095944,0.2545320558182148,0.3860389103535211,0.1166599129913795,intact
