specimen,bead_a,bead_b,share,cohesive
Alumina_75_1800_T7,3,71,0.1806,False
Alumina_75_1800_T7,4,112,0.8244,False
Alumina_75_1800_T7,1,140,0.5626,False
Alumina_75_1800_T7,2,243,0.0864,True
Alumina_75_1800_T7,15,270,0.3312,False
Alumina_75_1800_T7,33,142,0.4842,False
Alumina_75_1800_T7,16,267,0.7211,False
Alumina_75_1800_T7,42,208,0.4333,False
Alumina_75_1800_T7,51,91,0.8697,False
Alumina_75_1800_T7,44,74,0.1354,False
Alumina_75_1800_T7,46,279,0.7666,False
Alumina_75_1800_T7,61,161,0.6976,False
Alumina_75_1800_T7,65,78,0.1669,True
Alumina_75_1800_T7,68,195,0.1104,True
Alumina_75_1800_T7,71,212,0.2629,False
Alumina_75_1800_T7,77,103,0.0731,True
Alumina_75_1800_T7,82,218,0.5737,False
Alumina_75_1800_T7,87,257,0.3931,False
Alumina_75_1800_T7,98,121,0.071,True
Alumina_75_1800_T7,115,261,0.2678,False
Alumina_75_1800_T7,123,231,0.2024,False
Alumina_75_1800_T7,141,281,0.8142,False
Alumina_75_1800_T7,152,303,0.7385,False
Alumina_75_1800_T7,161,198,0.297,False
Alumina_75_1800_T7,166,263,0.4202,False
Alumina_75_1800_T7,161,216,0.2235,False
Alumina_75_1800_T7,175,244,0.035,True
Alumina_75_1800_T7,181,235,0.1649,True
Alumina_75_1800_T7,189,259,0.3396,False
Alumina_75_1800_T7,184,299,0.455,False
Alumina_75_1800_T7,258,282,0.6631,False
Alumina_75_1800_T7,208,284,0.1067,True
Alumina_100_1800_T5,22,212,0.5795,False
Alumina_100_1800_T5,22,73,0.0389,True
Alumina_100_1800_T5,3,153,0.0481,True
Alumina_100_1800_T5,22,25,0.0385,True
Alumina_100_1800_T5,11,68,0.1878,False
Alumina_100_1800_T5,25,81,0.0514,True
Alumina_100_1800_T5,56,111,0.3283,False
Alumina_100_1800_T5,34,60,0.0411,True
Alumina_100_1800_T5,29,82,0.066,True
Alumina_100_1800_T5,47,87,0.2344,False
Alumina_100_1800_T5,64,119,0.0766,True
Alumina_100_1800_T5,74,170,0.2357,False
Alumina_100_1800_T5,83,101,0.1766,True
Alumina_100_1800_T5,81,171,0.4279,False
Alumina_100_1800_T5,74,112,0.3612,False
Alumina_100_1800_T5,84,160,0.1832,True
Alumina_100_1800_T5,87,175,0.0255,True
Alumina_100_1800_T5,100,255,0.1418,False
Alumina_100_1800_T5,109,194,0.6106,False
Alumina_100_1800_T5,113,246,0.7393,False
Alumina_100_1800_T5,115,218,0.6879,False
Alumina_100_1800_T5,135,202,0.1292,True
Alumina_100_1800_T5,130,207,0.0573,True
Alumina_100_1800_T5,142,257,0.5382,False
Alumina_100_1800_T5,214,277,0.7556,False
Alumina_100_1800_T5,203,253,0.3164,False
Alumina_100_1800_T5,271,277,0.3079,False
Alumina_175_1800_T5,2,259,0.1404,True
Alumina_175_1800_T5,8,212,0.012,True
Alumina_175_1800_T5,10,209,0.5621,False
Alumina_175_1800_T5,8,180,0.2407,False
Alumina_175_1800_T5,13,179,0.9284,False
Alumina_175_1800_T5,15,237,0.3543,False
Alumina_175_1800_T5,15,220,0.4804,False
Alumina_175_1800_T5,14,15,0.0892,True
Alumina_175_1800_T5,19,36,0.028,True
Alumina_175_1800_T5,37,140,0.038,True
Alumina_175_1800_T5,38,262,0.5186,False
Alumina_175_1800_T5,32,117,0.1585,True
Alumina_175_1800_T5,28,39,0.4461,False
Alumina_175_1800_T5,39,129,0.6607,False
Alumina_175_1800_T5,40,88,0.0355,True
Alumina_175_1800_T5,39,206,0.1861,True
Alumina_175_1800_T5,44,95,0.401,False
Alumina_175_1800_T5,47,122,0.2578,False
Alumina_175_1800_T5,54,154,0.887,False
Alumina_175_1800_T5,55,187,0.6814,False
Alumina_175_1800_T5,61,62,0.1539,False
Alumina_175_1800_T5,68,154,0.8584,False
Alumina_175_1800_T5,72,274,0.3336,False
Alumina_175_1800_T5,76,176,0.0992,False
Alumina_175_1800_T5,83,248,0.2386,False
Alumina_175_1800_T5,87,206,0.0928,True
Alumina_175_1800_T5,91,255,0.1576,True
Alumina_175_1800_T5,89,239,0.1341,True
Alumina_175_1800_T5,92,101,0.4671,False
Alumina_175_1800_T5,94,133,0.0954,True
Alumina_175_1800_T5,95,191,0.2706,False
Alumina_175_1800_T5,99,223,0.8168,False
Alumina_175_1800_T5,101,167,0.2573,False
Alumina_175_1800_T5,103,156,0.0446,True
Alumina_175_1800_T5,101,157,0.5887,False
Alumina_175_1800_T5,108,222,0.7632,False
Alumina_175_1800_T5,111,197,0.0661,True
Alumina_175_1800_T5,120,144,0.7687,False
Alumina_175_1800_T5,123,144,0.0403,True
Alumina_175_1800_T5,121,207,0.8007,False
Alumina_175_1800_T5,136,207,0.6178,False
Alumina_175_1800_T5,131,179,0.1641,True
Alumina_175_1800_T5,148,237,0.7592,False
Alumina_175_1800_T5,179,282,0.0371,True
Alumina_175_1800_T5,160,224,0.8546,False
Alumina_175_1800_T5,226,266,0.6949,False
Alumina_175_1800_T5,236,243,0.5274,False
Alumina_175_1800_T5,235,239,0.2197,False
Alumina_175_1800_T5,236,272,0.4566,False
Alumina_175_1800_T5,244,294,0.3797,False
Alumina_75_1000_T5,66,2223,0.6818,False
Alumina_75_1000_T5,66,1048,0.4542,False
Alumina_75_1000_T5,66,1915,0.5187,False
Alumina_75_1000_T5,56,889,0.4422,False
Alumina_75_1000_T5,119,1267,0.2556,False
Alumina_75_1000_T5,95,1265,0.5443,False
Alumina_75_1000_T5,102,809,0.1482,False
Alumina_75_1000_T5,123,1287,0.3058,False
Alumina_75_1000_T5,145,653,0.2586,False
Alumina_75_1000_T5,151,2292,0.1138,True
Alumina_75_1000_T5,180,1543,0.7045,False
Alumina_75_1000_T5,155,1414,0.2638,False
Alumina_75_1000_T5,185,485,0.4508,False
Alumina_75_1000_T5,180,2143,0.2137,False
Alumina_75_1000_T5,194,1695,0.3775,False
Alumina_75_1000_T5,188,327,0.3667,False
Alumina_75_1000_T5,246,1684,0.6397,False
Alumina_75_1000_T5,268,280,0.2114,False
Alumina_75_1000_T5,264,650,0.4675,False
Alumina_75_1000_T5,275,889,0.6497,False
Alumina_75_1000_T5,281,1842,0.1982,False
Alumina_75_1000_T5,293,1543,0.3681,False
Alumina_75_1000_T5,293,1580,0.3821,False
Alumina_75_1000_T5,327,1842,0.1795,False
Alumina_75_1000_T5,335,1525,0.4086,False
Alumina_75_1000_T5,329,984,0.7125,False
Alumina_75_1000_T5,335,1564,0.28,False
Alumina_75_1000_T5,329,2021,0.6213,False
Alumina_75_1000_T5,346,352,0.6369,False
Alumina_75_1000_T5,352,2181,0.7786,False
Alumina_75_1000_T5,352,2021,0.3442,False
Alumina_75_1000_T5,348,1070,0.1987,False
Alumina_75_1000_T5,352,2260,0.2806,False
Alumina_75_1000_T5,352,2305,0.343,False
Alumina_75_1000_T5,381,2274,0.6549,False
Alumina_75_1000_T5,365,2021,0.2718,False
Alumina_75_1000_T5,372,1554,0.7707,False
Alumina_75_1000_T5,396,1719,0.3362,False
Alumina_75_1000_T5,404,422,0.6308,False
Alumina_75_1000_T5,422,1731,0.5428,False
Alumina_75_1000_T5,404,935,0.5031,False
Alumina_75_1000_T5,421,1564,0.3362,False
Alumina_75_1000_T5,421,1908,0.3117,False
Alumina_75_1000_T5,422,935,0.6232,False
Alumina_75_1000_T5,445,872,0.3594,False
Alumina_75_1000_T5,422,2156,0.4688,False
Alumina_75_1000_T5,452,1736,0.1923,False
Alumina_75_1000_T5,454,1009,0.3072,False
Alumina_75_1000_T5,454,1856,0.5011,False
Alumina_75_1000_T5,456,1844,0.4151,False
Alumina_75_1000_T5,456,2048,0.1901,False
Alumina_75_1000_T5,488,884,0.4203,False
Alumina_75_1000_T5,492,1453,0.2902,False
Alumina_75_1000_T5,485,1528,0.3796,False
Alumina_75_1000_T5,503,1980,0.4474,False
Alumina_75_1000_T5,519,2241,0.3017,False
Alumina_75_1000_T5,500,2274,0.7851,False
Alumina_75_1000_T5,503,1545,0.2868,False
Alumina_75_1000_T5,519,1085,0.4332,False
Alumina_75_1000_T5,558,869,0.3759,False
Alumina_75_1000_T5,523,592,0.2537,False
Alumina_75_1000_T5,526,729,0.3813,False
Alumina_75_1000_T5,537,1149,0.2324,False
Alumina_75_1000_T5,564,1145,0.4169,False
Alumina_75_1000_T5,584,1065,0.7294,False
Alumina_75_1000_T5,617,2118,0.1402,True
Alumina_75_1000_T5,584,1980,0.5195,False
Alumina_75_1000_T5,590,1554,0.41,False
Alumina_75_1000_T5,619,2061,0.4717,False
Alumina_75_1000_T5,642,949,0.38,False
Alumina_75_1000_T5,657,1193,0.4339,False
Alumina_75_1000_T5,659,1501,0.4424,False
Alumina_75_1000_T5,642,1287,0.6496,False
Alumina_75_1000_T5,660,1509,0.5736,False
Alumina_75_1000_T5,669,1398,0.3252,False
Alumina_75_1000_T5,674,2219,0.8496,False
Alumina_75_1000_T5,674,2048,0.8115,False
Alumina_75_1000_T5,674,1405,0.4481,False
Alumina_75_1000_T5,682,2018,0.2645,False
Alumina_75_1000_T5,728,897,0.1804,False
Alumina_75_1000_T5,742,1758,0.6702,False
Alumina_75_1000_T5,722,2180,0.1517,False
Alumina_75_1000_T5,722,2203,0.4742,False
Alumina_75_1000_T5,742,2204,0.6998,False
Alumina_75_1000_T5,742,2056,0.778,False
Alumina_75_1000_T5,807,1942,0.6299,False
Alumina_75_1000_T5,814,2143,0.659,False
Alumina_75_1000_T5,798,1054,0.4852,False
Alumina_75_1000_T5,849,2093,0.3388,False
Alumina_75_1000_T5,849,1395,0.271,False
Alumina_75_1000_T5,867,1085,0.1509,True
Alumina_75_1000_T5,876,1691,0.3425,False
Alumina_75_1000_T5,876,2236,0.1779,False
Alumina_75_1000_T5,893,2250,0.7203,False
Alumina_75_1000_T5,884,1909,0.2288,False
Alumina_75_1000_T5,898,2274,0.7022,False
Alumina_75_1000_T5,918,1915,0.3627,False
Alumina_75_1000_T5,939,1650,0.3397,False
Alumina_75_1000_T5,971,2297,0.6332,False
Alumina_75_1000_T5,975,1694,0.2573,False
Alumina_75_1000_T5,977,1145,0.293,False
Alumina_75_1000_T5,1012,1579,0.2676,False
Alumina_75_1000_T5,1009,2059,0.495,False
Alumina_75_1000_T5,1035,1856,0.4753,False
Alumina_75_1000_T5,1038,2230,0.3398,False
Alumina_75_1000_T5,1040,1253,0.7558,False
Alumina_75_1000_T5,1040,1697,0.2752,False
Alumina_75_1000_T5,1055,1581,0.1567,False
Alumina_75_1000_T5,1065,1787,0.5064,False
Alumina_75_1000_T5,1065,1900,0.3631,False
Alumina_75_1000_T5,1145,1149,0.5473,False
Alumina_75_1000_T5,1106,1455,0.4618,False
Alumina_75_1000_T5,1109,1177,0.3335,False
Alumina_75_1000_T5,1197,2103,0.5171,False
Alumina_75_1000_T5,1216,2147,0.632,False
Alumina_75_1000_T5,1233,2203,0.6285,False
Alumina_75_1000_T5,1221,1863,0.6281,False
Alumina_75_1000_T5,1230,1611,0.1565,False
Alumina_75_1000_T5,1266,1664,0.6716,False
Alumina_75_1000_T5,1253,1301,0.347,False
Alumina_75_1000_T5,1285,1574,0.4158,False
Alumina_75_1000_T5,1330,1863,0.3918,False
Alumina_75_1000_T5,1350,1517,0.633,False
Alumina_75_1000_T5,1396,1833,0.4465,False
Alumina_75_1000_T5,1396,1694,0.3361,False
Alumina_75_1000_T5,1405,1844,0.4194,False
Alumina_75_1000_T5,1403,1710,0.588,False
Alumina_75_1000_T5,1416,1577,0.1451,False
Alumina_75_1000_T5,1416,1866,0.3038,False
Alumina_75_1000_T5,1433,2117,0.5282,False
Alumina_75_1000_T5,1436,2297,0.4303,False
Alumina_75_1000_T5,1438,1642,0.517,False
Alumina_75_1000_T5,1447,1990,0.0749,True
Alumina_75_1000_T5,1445,1484,0.4016,False
Alumina_75_1000_T5,1462,1552,0.3954,False
Alumina_75_1000_T5,1490,2219,0.4871,False
Alumina_75_1000_T5,1470,2211,0.2533,False
Alumina_75_1000_T5,1509,2181,0.4167,False
Alumina_75_1000_T5,1509,1872,0.4845,False
Alumina_75_1000_T5,1536,1944,0.1115,True
Alumina_75_1000_T5,1545,1787,0.6885,False
Alumina_75_1000_T5,1545,1842,0.3196,False
Alumina_75_1000_T5,1564,2260,0.2985,False
