id,specimen,scan,R_vox,r_close,r_skin,n_gated,envelope_mm3,ice_mm3,grain_mm3,grain_in_env,gaps_mm3,void_mm3,surface_mm3,body_mm3,separation_mm3,n_gap_bodies,seconds
A1,Alumina_100_1800_T5,1,35.7,45,4,357,1358.1,456.8,777.5,0.884,120.02,55.74,12.17,26.79,25.32,52169,91
A1,Alumina_100_1800_T5,2,35.7,45,4,370,1309.3,440.7,754.7,0.859,109.2,61.71,9.65,20.33,17.51,60189,93
A1,Alumina_100_1800_T5,3,35.7,45,4,353,1313.7,424.7,736.0,0.858,149.27,45.69,33.2,36.79,33.59,51735,93
A2,Alumina_175_1800_T5,1,35.6,44,4,422,1387.5,418.0,820.6,0.89,145.14,46.46,21.73,39.79,37.16,51057,101
A2,Alumina_175_1800_T5,2,35.6,44,4,418,1476.9,399.3,789.4,0.919,284.89,22.65,103.04,75.46,83.75,47820,107
A3,Alumina_75_1000_T5,1,19.1,24,4,2773,1834.3,680.5,1011.6,0.943,136.06,75.9,18.63,25.23,16.3,92233,118
A3,Alumina_75_1000_T5,2,19.1,24,4,2536,1278.9,486.1,646.3,0.854,140.26,37.56,37.74,41.23,23.73,78027,116
A4,Alumina_75_1800_T7,1,35.6,45,4,427,1447.4,432.5,848.6,0.684,163.53,51.17,28.5,38.43,45.43,38726,110
A4,Alumina_75_1800_T7,2,35.6,45,4,423,1500.0,422.1,837.5,0.681,237.23,27.72,71.96,57.91,79.64,47019,110
A4,Alumina_75_1800_T7,3,35.6,45,4,461,1527.6,410.8,832.9,0.637,280.64,27.32,102.21,64.96,86.14,43487,107
G1,Glass_75_1700_T5_HR,1,34.6,43,4,369,1355.7,482.3,860.1,0.888,12.49,6.76,2.99,0.11,2.62,8025,74
G1,Glass_75_1700_T5_HR,2,34.6,43,4,337,1357.5,435.7,754.5,0.834,166.68,7.83,61.08,44.94,52.83,6621,66
G1,Glass_75_1700_T5_HR,3,34.6,43,4,366,1382.6,502.5,741.4,0.809,137.6,13.72,49.03,55.91,18.94,10017,69
G2,Glass_75_1000_T6,1,35.5,44,4,304,1148.0,422.2,715.8,0.858,9.64,9.64,0.0,0.0,0.0,6149,69
G2,Glass_75_1000_T6,2,35.5,44,4,303,1195.2,420.7,646.5,0.806,127.05,9.82,52.7,30.38,34.16,11735,65
G3,Glass_100_1700_T7,1,35.7,45,4,375,1514.2,511.8,963.4,0.887,34.2,34.2,0.0,0.0,0.0,36640,91
G3,Glass_100_1700_T7,2,35.7,45,4,372,1485.6,496.7,964.3,0.862,23.27,12.75,5.98,1.42,3.12,11114,92
G3,Glass_100_1700_T7,3,35.7,45,4,372,1613.7,605.9,899.0,0.871,107.99,3.75,49.3,22.95,31.99,8686,88
G3,Glass_100_1700_T7,4,35.7,45,4,361,1343.6,366.2,756.7,0.826,216.92,11.65,92.39,49.28,63.6,26777,86
G4,Glass_100_1700_T5_HR,1,34.8,44,4,355,1242.4,439.5,796.2,0.865,6.16,6.16,0.0,0.0,0.0,3683,127
G4,Glass_100_1700_T5_HR,2,34.8,44,4,340,1219.5,421.5,715.4,0.796,81.33,16.0,30.53,20.24,14.56,8822,101
G5,Glass_100_1800_T5,1,35.4,44,4,282,1145.6,417.2,704.2,0.886,23.06,10.48,7.56,0.98,4.04,9199,63
G5,Glass_100_1800_T5,2,35.4,44,4,281,1180.2,356.0,663.8,0.843,158.7,8.29,80.71,26.01,43.7,14309,53
