id,specimen,pair,n_common,n_total,u_rel_med_mm,global_rot_deg,rot_med_raw_deg,rot_med_deg,rot_p95_deg,eq_med,eq_p95
A1,Alumina_100_1800_T5,1to2,223,290,0.704,1.25,10.6,10.3,21.5,0.235,0.426
A1,Alumina_100_1800_T5,1to3,223,290,1.197,2.03,14.2,14.1,26.5,0.37,0.866
A2,Alumina_175_1800_T5,1to2,298,298,0.992,1.0,10.0,10.1,22.6,0.32,0.7
A3,Alumina_75_1000_T5,1to2,2390,2390,0.568,0.23,9.7,9.7,36.5,0.271,0.846
A4,Alumina_75_1800_T7,1to2,291,330,0.038,2.16,2.2,0.4,6.6,0.002,0.19
A4,Alumina_75_1800_T7,1to3,291,330,0.97,2.28,10.2,10.3,22.6,0.277,0.533
G4,Glass_100_1700_T5_HR,1to2,354,354,1.543,0.93,9.6,9.3,19.1,0.323,0.546
G3,Glass_100_1700_T7,1to2,254,375,0.341,6.26,11.5,5.4,17.0,0.006,0.304
G3,Glass_100_1700_T7,1to3,254,375,1.009,8.49,13.9,9.1,19.6,0.23,0.555
G3,Glass_100_1700_T7,1to4,254,375,1.352,11.73,18.7,10.9,25.5,0.312,0.762
G5,Glass_100_1800_T5,1to2,278,278,1.304,1.63,9.2,9.1,18.1,0.379,0.573
G2,Glass_75_1000_T6,1to2,302,302,1.647,1.74,9.1,9.0,16.6,0.403,0.63
G1,Glass_75_1700_T5_HR,1to2,264,364,1.176,0.77,8.8,8.8,15.3,0.315,0.544
G1,Glass_75_1700_T5_HR,1to3,264,364,1.435,1.39,9.8,10.0,17.2,0.375,0.695
