id,stage,material,source,eps,phi_ice,rho,SV_void_per_mm,k_KC_m2,air_percolates,tau_ice,tau_ice_sd,n_cubes_ok,n_cubes
A1,1,alumina,existing,0.1296,0.4293,0.4411,4.82,5.201322026342562e-13,True,1.771,0.036,2,3
A1,2,alumina,existing,0.1116,0.4517,0.4367,4.111,4.573777563934893e-13,False,1.818,0.002,2,2
A1,3,alumina,existing,0.1398,0.4322,0.428,4.555,7.318485465310118e-13,False,1.765,0.022,2,2
A2,1,alumina,existing,0.1486,0.4029,0.4485,5.158,6.855672239495388e-13,True,1.891,0.035,2,3
A2,2,alumina,existing,0.1466,0.419,0.4344,3.656,1.3108462380921218e-12,True,,,0,1
A3,1,alumina,existing,0.1438,0.4222,0.434,6.635,3.75119511436641e-13,False,1.895,0.11,3,3
A3,2,alumina,existing,0.1247,0.4453,0.4299,4.623,5.045548989269829e-13,True,1.972,0.0,1,2
A4,1,alumina,existing,0.1398,0.4125,0.4477,4.382,7.908968532275935e-13,True,1.918,0.062,2,3
A4,2,alumina,existing,0.1493,0.4138,0.4368,3.932,1.1960468005056302e-12,True,1.864,0.0,1,1
A4,3,alumina,existing,0.2074,0.3971,0.3955,6.851,1.0555582385837704e-12,True,2.105,0.151,2,2
G1,1,glass,existing,0.0462,0.4598,0.4941,2.176,1.1552089599934277e-13,False,1.622,0.03,2,3
G1,2,glass,new,0.1568,0.4272,0.4159,4.281,1.169497077515532e-12,True,,,0,1
G1,3,glass,new,0.1995,0.3859,0.4145,6.367,1.0886732794550194e-12,True,5.738,0.0,1,2
G2,1,glass,existing,0.1681,0.4149,0.417,8.404,3.7385066781180215e-13,False,1.622,0.006,2,2
G2,2,glass,existing,0.1556,0.4238,0.4205,6.47,5.003152805816586e-13,True,1.817,0.05,2,2
G3,1,glass,existing,0.0787,0.4295,0.4918,3.669,2.0093265201018707e-13,True,1.61,0.016,3,3
G3,2,glass,existing,0.0662,0.4685,0.4654,2.7,2.206438040908748e-13,True,1.605,0.003,3,3
G3,3,glass,existing,0.1285,0.4407,0.4308,4.052,7.183617018472903e-13,True,1.62,0.027,2,2
G3,4,glass,existing,0.1893,0.3552,0.4555,6.418,9.154954815588012e-13,False,1.84,0.047,3,3
G4,1,glass,existing,0.0803,0.4867,0.433,3.936,1.8571251701167854e-13,True,1.446,0.181,2,3
G4,2,glass,new,0.1419,0.4292,0.4289,5.707,4.874348948463186e-13,True,1.749,0.001,2,3
G5,1,glass,existing,0.089,0.4563,0.4546,4.537,1.9038380934161883e-13,True,1.608,0.017,2,2
G5,2,glass,new,0.2068,0.3805,0.4127,5.55,1.5949163203580942e-12,True,1.894,0.141,2,2
S1,1,sand,existing,0.082,,,4.425,1.5648969584354046e-13,False,2.33,0.003,2,2
S1,2,sand,new,0.0883,,,4.683,1.7417893273147168e-13,False,,,0,2
S2,1,sand,existing,0.055,,,2.726,1.2413650876329041e-13,False,2.037,0.0,1,3
S2,2,sand,new,0.0389,,,1.846,9.581564007583356e-14,False,,,0,3
S2,3,sand,new,0.1223,,,7.23,1.9447584000297348e-13,False,,,0,2
S3,1,sand,existing,0.0975,,,6.208,1.3361812914685578e-13,False,2.672,0.114,3,3
S3,2,sand,new,0.0657,,,3.584,1.2244023757678966e-13,False,2.094,0.0,1,3
