id,stage,material,eps,phi_ice,rho,SV_per_mm,k_KC_m2,air_percolates,largest_air_share,height_mm,shortening,tau_ice,n_cubes_ok,n_cubes
G1,1,glass,0.0041,0.395,0.6009,0.528,1.366e-15,False,0.024,22.56,0.0,1.609,3,3
G1,2,glass,0.1581,0.3315,0.5104,2.956,2.512e-12,True,0.963,18.92,0.1614,1.888,1,1
G1,3,glass,0.1744,0.328,0.4977,4.933,1.21e-12,True,0.966,17.51,0.2239,3.737,2,2
G2,1,glass,0.031,0.4166,0.5523,2.099,3.761e-14,False,0.286,20.9,0.0,1.622,2,2
G2,2,glass,0.1136,0.3605,0.5259,3.423,6.951e-13,False,0.788,16.59,0.2062,1.817,2,2
G3,1,glass,0.0054,0.3973,0.5973,0.61,2.324e-15,False,0.06,25.21,0.0,1.61,3,3
G3,2,glass,0.009,0.3937,0.5973,0.631,1.02e-14,False,0.408,24.07,0.0452,1.605,3,3
G3,3,glass,0.07,0.3724,0.5576,1.897,5.298e-13,False,0.855,22.64,0.1022,1.62,2,2
G3,4,glass,0.0877,0.3162,0.5961,2.836,4.659e-13,False,0.913,17.61,0.3016,1.84,3,3
G4,1,glass,0.007,0.4493,0.5437,0.688,4.077e-15,False,0.036,20.51,0.0,1.52,3,3
G4,2,glass,0.0577,0.3861,0.5562,3.071,1.132e-13,False,0.853,16.02,0.2186,1.889,3,3
G5,1,glass,0.0064,0.4085,0.5851,0.602,3.999e-15,False,0.101,20.28,0.0,1.608,2,2
G5,2,glass,0.1078,0.3659,0.5263,3.069,7.383e-13,False,0.463,17.46,0.1392,1.894,2,2
A1,1,alumina,0.0928,0.3669,0.5403,1.947,1.171e-12,False,0.102,23.23,0.0,1.762,3,3
A1,2,alumina,0.0947,0.3622,0.5431,2.353,8.522e-13,False,0.132,21.82,0.0608,1.818,2,2
A1,3,alumina,0.1506,0.3528,0.4966,3.177,1.881e-12,False,0.376,20.46,0.1194,1.765,2,2
A2,1,alumina,0.1044,0.3286,0.567,1.916,1.723e-12,False,0.201,23.13,0.0,1.95,3,3
A2,2,alumina,0.1605,0.3654,0.4741,2.867,2.796e-12,False,0.347,20.83,0.0996,1.949,1,1
A3,1,alumina,0.0801,0.3828,0.5371,1.956,7.47e-13,False,0.088,26.38,0.0,1.895,3,3
A3,2,alumina,0.1199,0.4378,0.4424,4.06,5.806e-13,False,0.277,16.69,0.3671,2.011,2,2
A4,1,alumina,0.1173,0.3282,0.5545,1.686,3.153e-12,False,0.149,24.99,0.0,1.92,3,3
A4,2,alumina,0.1426,0.3227,0.5348,2.109,3.621e-12,False,0.389,24.87,0.005,1.864,1,1
A4,3,alumina,0.1367,0.347,0.5163,2.876,1.716e-12,False,0.167,23.06,0.0773,2.105,2,2
S1,1,sand,0.0118,,,0.906,1.098e-14,False,0.026,18.15,0.0,2.33,2,2
S1,2,sand,0.0115,,,0.834,1.212e-14,False,0.029,18.15,0.0,2.273,2,2
S2,1,sand,0.0136,,,0.902,1.701e-14,False,0.058,24.79,0.0,2.189,3,3
S2,2,sand,0.0132,,,0.796,2.039e-14,False,0.058,23.6,0.048,2.168,3,3
S2,3,sand,0.0837,,,5.985,9.095e-14,False,0.819,18.65,0.2478,2.353,2,2
S3,1,sand,0.0462,,,3.784,3.834e-14,False,0.1,20.73,0.0,2.672,3,3
S3,2,sand,0.0097,,,0.479,2.234e-14,False,0.024,18.95,0.086,3.235,3,3
